page_id	physical_leaf_id	image_source_id	schema_version	annotation_status	COMP_ILLUSTRATION_REGIONS	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	FIG_RELATION	FIG_ENCLOSED	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY
f75r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f75v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f76r	0	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f76v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f77r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f77v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f78r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f78v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f79r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f79v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f80r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f80v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f81r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f81v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f82r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f82v	MULTIPLE	PRESENT	0	4+	4+	0	0	ABSENT	ABSENT	ABSENT	MIXED	PRESENT	ABSENT	HIGH	HIGH
f83r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f83v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f84r	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f84v	MULTIPLE	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	INTERACTING	PRESENT	ABSENT	HIGH	HIGH
f85r1	0	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f85r2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
fRos	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	HIGH	HIGH
f86v4	1	PRESENT	0	0	0	1+	1	PRESENT	PRESENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	HIGH	HIGH
f86v6	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f86v5	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f86v3	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f87r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f87v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f88r	MULTIPLE	ABSENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f88v	MULTIPLE	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f89r1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f89r2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f89v2	MULTIPLE	PRESENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f89v1	MULTIPLE	PRESENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	MEDIUM
f90r1	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f90r2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f90v2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f90v1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f93r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f93v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f94r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f94v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f95r1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f95r2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f95v2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f95v1	1	PRESENT	1	0	0	1+	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f96r	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f96v	1	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	MEDIUM	MEDIUM
f99r	MULTIPLE	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f99v	MULTIPLE	ABSENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f100r	MULTIPLE	PRESENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f100v	MULTIPLE	ABSENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f101r	MULTIPLE	ABSENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f101v	MULTIPLE	ABSENT	4+	0	2-3	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f102r1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f102r2	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f102v2	MULTIPLE	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	HIGH	HIGH
f102v1	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE	NOT_VISIBLE
f103r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f103v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f104r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f104v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f105r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f105v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f106r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f106v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f107r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f107v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f108r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f108v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f111r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f111v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f112r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f112v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f113r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f113v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f114r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f114v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f115r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f115v	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f116r	MULTIPLE	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
f116v	0	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	LOW	LOW
