analysis	group	n	value	note
FOLIO_PROGRESSION	f86v6	494	0.0172845406	Spearman token position versus N within folio
FOLIO_PROGRESSION	f87r	103	-0.198435428	Spearman token position versus N within folio
FOLIO_PROGRESSION	f87v	92	-0.276984017	Spearman token position versus N within folio
FOLIO_PROGRESSION	f88r	150	-0.0950503791	Spearman token position versus N within folio
FOLIO_PROGRESSION	f88v	146	-0.0635246278	Spearman token position versus N within folio
FOLIO_PROGRESSION	f89r1	141	-0.0310576103	Spearman token position versus N within folio
FOLIO_PROGRESSION	f89r2	235	-0.107201445	Spearman token position versus N within folio
FOLIO_PROGRESSION	f89v1	154	-0.0365408823	Spearman token position versus N within folio
FOLIO_PROGRESSION	f89v2	183	0.0602590143	Spearman token position versus N within folio
FOLIO_PROGRESSION	f8r	153	-0.058619179	Spearman token position versus N within folio
FOLIO_PROGRESSION	f8v	120	0.0293808632	Spearman token position versus N within folio
FOLIO_PROGRESSION	f90r1	69	-0.129232624	Spearman token position versus N within folio
FOLIO_PROGRESSION	f90r2	47	-0.16803565	Spearman token position versus N within folio
FOLIO_PROGRESSION	f90v1	98	-0.00869038512	Spearman token position versus N within folio
FOLIO_PROGRESSION	f90v2	70	0.0379059013	Spearman token position versus N within folio
FOLIO_PROGRESSION	f93r	153	-0.0211182881	Spearman token position versus N within folio
FOLIO_PROGRESSION	f93v	90	-0.121739489	Spearman token position versus N within folio
FOLIO_PROGRESSION	f94r	79	-0.237726318	Spearman token position versus N within folio
FOLIO_PROGRESSION	f94v	97	-0.175804739	Spearman token position versus N within folio
FOLIO_PROGRESSION	f95r1	103	-0.0593101193	Spearman token position versus N within folio
FOLIO_PROGRESSION	f95r2	79	-0.0534276346	Spearman token position versus N within folio
FOLIO_PROGRESSION	f95v1	120	0.064638341	Spearman token position versus N within folio
FOLIO_PROGRESSION	f95v2	60	-0.117151789	Spearman token position versus N within folio
FOLIO_PROGRESSION	f96r	84	-0.00610558719	Spearman token position versus N within folio
FOLIO_PROGRESSION	f96v	56	-0.110252905	Spearman token position versus N within folio
FOLIO_PROGRESSION	f99r	194	-0.0256533746	Spearman token position versus N within folio
FOLIO_PROGRESSION	f99v	178	0.0160808618	Spearman token position versus N within folio
FOLIO_PROGRESSION	f9r	86	0.0710279142	Spearman token position versus N within folio
FOLIO_PROGRESSION	f9v	86	-0.118540898	Spearman token position versus N within folio
FOLIO_PROGRESSION	fRos	548	0.0722523351	Spearman token position versus N within folio
EDIT_DISTANCE_1	DEL_a_RIGHT_0	41	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_a_RIGHT_1	138	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_a_RIGHT_2	54	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_a_RIGHT_3	89	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_a_RIGHT_4	44	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_a_RIGHT_5	42	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_a_RIGHT_6	23	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_a_RIGHT_7	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_a_RIGHT_8	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_b_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_c_RIGHT_0	14	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_c_RIGHT_1	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_c_RIGHT_2	33	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_c_RIGHT_3	39	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_c_RIGHT_4	31	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_c_RIGHT_5	17	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_c_RIGHT_6	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_c_RIGHT_7	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_0	173	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_1	512	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_2	228	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_3	124	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_4	178	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_5	98	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_6	79	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_7	21	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_8	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_d_RIGHT_9	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_0	36	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_1	537	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_2	775	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_3	549	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_4	330	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_5	191	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_6	81	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_7	15	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_e_RIGHT_8	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_0	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_1	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_2	30	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_3	37	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_4	47	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_5	34	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_6	15	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_7	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_f_RIGHT_8	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_g_RIGHT_0	59	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_g_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_g_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_g_RIGHT_3	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_h_RIGHT_0	15	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_h_RIGHT_1	80	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_h_RIGHT_2	83	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_h_RIGHT_3	43	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_h_RIGHT_4	39	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_h_RIGHT_5	15	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_h_RIGHT_6	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_h_RIGHT_7	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_i_RIGHT_0	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_i_RIGHT_1	389	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_i_RIGHT_2	254	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_i_RIGHT_3	85	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_i_RIGHT_4	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_i_RIGHT_5	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_i_RIGHT_6	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_j_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_j_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_j_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_0	20	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_1	89	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_2	157	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_3	188	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_4	208	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_5	99	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_6	49	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_7	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_8	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_k_RIGHT_9	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_0	260	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_1	117	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_2	130	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_3	114	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_4	169	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_5	154	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_6	66	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_7	20	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_8	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_l_RIGHT_9	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_m_RIGHT_0	92	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_m_RIGHT_1	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_m_RIGHT_2	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_n_RIGHT_0	44	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_n_RIGHT_1	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_n_RIGHT_2	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_n_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_n_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_0	136	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_1	256	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_10	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_2	295	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_3	278	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_4	311	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_5	312	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_6	180	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_7	71	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_8	13	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_o_RIGHT_9	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_0	13	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_1	17	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_2	41	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_3	58	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_4	96	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_5	74	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_6	62	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_7	25	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_8	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_p_RIGHT_9	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_1	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_10	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_2	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_3	27	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_4	83	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_5	103	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_6	141	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_7	78	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_8	34	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_q_RIGHT_9	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_0	215	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_1	36	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_2	48	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_3	43	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_4	56	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_5	29	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_6	18	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_7	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_r_RIGHT_8	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_0	226	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_1	72	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_2	63	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_3	63	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_4	86	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_5	59	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_6	38	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_7	25	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_8	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_s_RIGHT_9	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_0	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_1	51	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_2	106	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_3	152	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_4	165	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_5	111	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_6	57	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_7	19	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_8	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_t_RIGHT_9	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_u_RIGHT_0	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_v_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_v_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_x_RIGHT_0	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_x_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_x_RIGHT_2	10	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_x_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_x_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_x_RIGHT_6	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_0	636	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_1	39	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_2	49	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_3	70	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_4	111	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_5	118	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_6	73	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_7	29	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_8	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_y_RIGHT_9	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_z_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_z_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_z_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	DEL_z_RIGHT_5	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_0	41	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_1	138	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_2	54	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_3	89	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_4	44	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_5	42	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_6	23	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_7	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_a_RIGHT_8	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_b_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_c_RIGHT_0	14	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_c_RIGHT_1	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_c_RIGHT_2	33	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_c_RIGHT_3	39	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_c_RIGHT_4	31	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_c_RIGHT_5	17	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_c_RIGHT_6	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_c_RIGHT_7	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_0	173	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_1	512	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_2	228	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_3	124	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_4	178	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_5	98	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_6	79	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_7	21	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_8	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_d_RIGHT_9	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_0	36	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_1	537	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_2	775	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_3	549	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_4	330	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_5	191	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_6	81	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_7	15	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_e_RIGHT_8	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_0	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_1	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_2	30	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_3	37	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_4	47	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_5	34	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_6	15	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_7	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_f_RIGHT_8	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_g_RIGHT_0	59	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_g_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_g_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_g_RIGHT_3	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_h_RIGHT_0	15	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_h_RIGHT_1	80	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_h_RIGHT_2	83	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_h_RIGHT_3	43	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_h_RIGHT_4	39	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_h_RIGHT_5	15	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_h_RIGHT_6	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_h_RIGHT_7	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_i_RIGHT_0	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_i_RIGHT_1	389	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_i_RIGHT_2	254	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_i_RIGHT_3	85	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_i_RIGHT_4	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_i_RIGHT_5	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_i_RIGHT_6	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_j_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_j_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_j_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_k_RIGHT_0	20	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_k_RIGHT_1	89	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_k_RIGHT_2	157	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	INS_k_RIGHT_3	188	1	exact positional arithmetic consistency; representation-induced
