context_AB	continuation_C	count_ABC	count_AB	p_C_given_AB	count_BC	count_B_as_predecessor	p_C_given_B	probability_difference	observed_status
cheef chckhey	tedy	1	1	1	1	28	0.03571428571	0.9642857143	OBSERVED
cheefar shetchy	qoteol	1	1	1	1	1	1	0	OBSERVED
cheefy qopchey	opchedal	1	1	1	1	10	0.1	0.9	OBSERVED
cheeg okeody	ch	1	1	1	1	28	0.03571428571	0.9642857143	OBSERVED
cheekaiin okaiin	okchor	1	1	1	1	198	0.005050505051	0.9949494949	OBSERVED
cheekaiin okain	ar	1	1	1	3	128	0.0234375	0.9765625	OBSERVED
cheekain okchedy	qokchdy	1	1	1	1	22	0.04545454545	0.9545454545	OBSERVED
cheekain qokeeokain	chckhy	1	1	1	1	1	1	0	OBSERVED
cheekar qoor	shor	1	1	1	1	10	0.1	0.9	OBSERVED
cheekchey chkeody	okchy	1	1	1	1	1	1	0	OBSERVED
cheekchy qotchy	otchy	1	1	1	1	59	0.01694915254	0.9830508475	OBSERVED
cheekey cheal	qokey	1	1	1	1	28	0.03571428571	0.9642857143	OBSERVED
cheekey oteeoaly	otar	1	1	1	1	2	0.5	0.5	OBSERVED
cheekey qoky	otain	1	1	1	1	117	0.008547008547	0.9914529915	OBSERVED
cheekey teokechey	saiir	1	1	1	1	1	1	0	OBSERVED
cheeky ary	okeo	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
cheeky chor	ry	1	1	1	1	205	0.00487804878	0.9951219512	OBSERVED
cheeky daiin	daiin	1	1	1	12	719	0.01668984701	0.983310153	OBSERVED
cheeky daiir	chky	1	1	1	1	23	0.04347826087	0.9565217391	OBSERVED
cheeky dam	ched	1	1	1	1	32	0.03125	0.96875	OBSERVED
cheeky dar	chey	1	2	0.5	5	277	0.01805054152	0.4819494585	OBSERVED
cheeky dar	okal	1	2	0.5	2	277	0.007220216606	0.4927797834	OBSERVED
cheeky dy	ol	1	1	1	1	182	0.005494505495	0.9945054945	OBSERVED
cheeky lchedy	qokam	1	1	1	1	99	0.0101010101	0.9898989899	OBSERVED
cheeky lkedy	chedy	1	1	1	1	25	0.04	0.96	OBSERVED
cheeky okain	sol	1	1	1	1	128	0.0078125	0.9921875	OBSERVED
cheeky okolar	ychey	1	1	1	1	1	1	0	OBSERVED
cheeky oldy	aiin	1	1	1	1	13	0.07692307692	0.9230769231	OBSERVED
cheeky otar	aiin	1	1	1	5	146	0.03424657534	0.9657534247	OBSERVED
cheeky qokal	dal	1	1	1	5	182	0.02747252747	0.9725274725	OBSERVED
cheeky qokchd	qotol	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
cheeky qokey	qokain	1	1	1	2	101	0.0198019802	0.9801980198	OBSERVED
cheeky raiin	olal	1	1	1	1	58	0.01724137931	0.9827586207	OBSERVED
cheeky sheey	qokedy	1	2	0.5	2	144	0.01388888889	0.4861111111	OBSERVED
cheeky sheey	ytey	1	2	0.5	1	144	0.006944444444	0.4930555556	OBSERVED
cheeo ar	yteey	1	1	1	2	379	0.005277044855	0.9947229551	OBSERVED
cheeo cheeol	qokaiin	1	1	1	1	8	0.125	0.875	OBSERVED
cheeo chey	okeeey	1	1	1	1	333	0.003003003003	0.996996997	OBSERVED
cheeo chy	chdaiin	1	1	1	1	154	0.006493506494	0.9935064935	OBSERVED
cheeo daiin	sheedy	1	1	1	1	719	0.001390820584	0.9986091794	OBSERVED
cheeo dain	ockhedy	1	1	1	2	187	0.01069518717	0.9893048128	OBSERVED
cheeo l	cheeo	1	4	0.25	1	185	0.005405405405	0.2445945946	OBSERVED
cheeo l	keeey	1	4	0.25	1	185	0.005405405405	0.2445945946	OBSERVED
cheeo l	keey	1	4	0.25	7	185	0.03783783784	0.2121621622	OBSERVED
cheeo l	s	1	4	0.25	9	185	0.04864864865	0.2013513514	OBSERVED
cheeo lkeey	oteed	1	1	1	1	36	0.02777777778	0.9722222222	OBSERVED
cheeo lo	lchey	1	1	1	1	10	0.1	0.9	OBSERVED
cheeo lor	eees	1	1	1	1	33	0.0303030303	0.9696969697	OBSERVED
cheeo okcho	dy	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
cheeo ol	chs	1	1	1	2	521	0.003838771593	0.9961612284	OBSERVED
cheeo rlaiin	chckhey	1	1	1	1	1	1	0	OBSERVED
cheeo taiin	okeed	1	1	1	1	40	0.025	0.975	OBSERVED
cheeod ykeey	kaiin	1	1	1	2	55	0.03636363636	0.9636363636	OBSERVED
cheeodam sho	sho	1	1	1	2	126	0.01587301587	0.9841269841	OBSERVED
cheeods oraiin	qoeey	1	1	1	1	28	0.03571428571	0.9642857143	OBSERVED
cheeody aiin	lkar	1	1	1	1	469	0.002132196162	0.9978678038	OBSERVED
cheeody cheeool	ls	1	1	1	1	1	1	0	OBSERVED
cheeody cheey	keo	1	1	1	1	178	0.005617977528	0.9943820225	OBSERVED
cheeody okcheey	lkair	1	1	1	1	5	0.2	0.8	OBSERVED
cheeody okeeey	cheodaiin	1	1	1	1	23	0.04347826087	0.9565217391	OBSERVED
cheeody qokchedy	chckhody	1	1	1	1	38	0.02631578947	0.9736842105	OBSERVED
cheeody qokeeody	okaiin	1	2	0.5	2	15	0.1333333333	0.3666666667	OBSERVED
cheeody qokeeody	qokeey	1	2	0.5	1	15	0.06666666667	0.4333333333	OBSERVED
cheeody qotchey	tey	1	1	1	1	18	0.05555555556	0.9444444444	OBSERVED
cheeody qoteeotchy	soin	1	1	1	1	1	1	0	OBSERVED
cheeoekey ykeedcr	oteey	1	1	1	1	1	1	0	OBSERVED
cheeog dal	chcthy	1	1	1	1	193	0.00518134715	0.9948186528	OBSERVED
cheeokeeo choeky	choly	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
cheeokeey checkhey	dor	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
cheeol cheody	qotody	1	1	1	1	78	0.01282051282	0.9871794872	OBSERVED
cheeol ctheey	cthy	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
cheeol keeol	lkeeedy	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
cheeol ofchdy	otedy	1	1	1	2	5	0.4	0.6	OBSERVED
cheeol qok	odal	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
cheeol qokaiin	ytain	1	1	1	1	253	0.00395256917	0.9960474308	OBSERVED
cheeol qokeedy	qokeedy	1	2	0.5	18	303	0.05940594059	0.4405940594	OBSERVED
cheeol qokeedy	qoteosam	1	2	0.5	1	303	0.003300330033	0.49669967	OBSERVED
cheeoldair okchey	cthey	1	1	1	1	30	0.03333333333	0.9666666667	OBSERVED
cheeool ls	air	1	1	1	2	9	0.2222222222	0.7777777778	OBSERVED
cheeor aiin	okeey	1	1	1	5	469	0.01066098081	0.9893390192	OBSERVED
cheeor cheol	chckheey	1	1	1	1	166	0.006024096386	0.9939759036	OBSERVED
cheeor chocthar	ar	1	1	1	1	1	1	0	OBSERVED
cheeor chy	shy	1	1	1	2	154	0.01298701299	0.987012987	OBSERVED
cheeor ckheos	olsheeosol	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
cheeor cthey	qokol	1	1	1	1	45	0.02222222222	0.9777777778	OBSERVED
cheeor odaidy	ckhod	1	1	1	1	1	1	0	OBSERVED
cheeor okeedy	qokedy	1	1	1	1	99	0.0101010101	0.9898989899	OBSERVED
cheeor ol	chol	1	2	0.5	2	521	0.003838771593	0.4961612284	OBSERVED
cheeor ol	daiin	1	2	0.5	9	521	0.01727447217	0.4827255278	OBSERVED
cheeor olar	chey	1	1	1	1	15	0.06666666667	0.9333333333	OBSERVED
cheeor olkeedy	daiin	1	1	1	1	41	0.0243902439	0.9756097561	OBSERVED
cheeor qokeody	dar	1	1	1	1	32	0.03125	0.96875	OBSERVED
cheeor sheeol	qokol	1	1	1	1	13	0.07692307692	0.9230769231	OBSERVED
cheeos aiiiro	lcheedy	1	1	1	1	1	1	0	OBSERVED
cheeos al	ches	1	1	1	3	233	0.01287553648	0.9871244635	OBSERVED
cheeos chey	daiin	1	1	1	8	333	0.02402402402	0.975975976	OBSERVED
cheeos lkaiin	chey	1	1	1	2	45	0.04444444444	0.9555555556	OBSERVED
cheeos olteody	otoydy	1	1	1	1	2	0.5	0.5	OBSERVED
cheeos qokes	ory	1	1	1	1	1	1	0	OBSERVED
cheeos ysaiin	okcheey	1	1	1	1	4	0.25	0.75	OBSERVED
cheeoy or	aiin	1	1	1	57	375	0.152	0.848	OBSERVED
cheepaiin ofy	shey	1	1	1	1	2	0.5	0.5	OBSERVED
cheepchdy lpchedy	olkar	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
chees aiiin	shees	1	1	1	1	44	0.02272727273	0.9772727273	OBSERVED
chees aiin	chokar	1	1	1	1	469	0.002132196162	0.9978678038	OBSERVED
chees ain	shy	1	1	1	1	104	0.009615384615	0.9903846154	OBSERVED
chees air	qotaiin	1	1	1	1	80	0.0125	0.9875	OBSERVED
chees aly	okalcheg	1	1	1	1	16	0.0625	0.9375	OBSERVED
chees ar	aiin	1	2	0.5	27	379	0.07124010554	0.4287598945	OBSERVED
chees ar	ol	1	2	0.5	9	379	0.02374670185	0.4762532982	OBSERVED
chees cheody	qokeody	1	1	1	1	78	0.01282051282	0.9871794872	OBSERVED
chees cheoly	jeiii	1	1	1	1	4	0.25	0.75	OBSERVED
chees chos	ctey	1	1	1	1	36	0.02777777778	0.9722222222	OBSERVED
chees chr	cheaiin	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
chees ctho	shy	1	1	1	1	20	0.05	0.95	OBSERVED
chees cthol	shor	1	1	1	2	50	0.04	0.96	OBSERVED
chees o	eey	1	1	1	1	207	0.004830917874	0.9951690821	OBSERVED
chees odaiiin	chkeeey	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
chees okeey	qotol	1	1	1	1	177	0.005649717514	0.9943502825	OBSERVED
chees ol	chey	1	3	0.3333333333	9	521	0.01727447217	0.3160588612	OBSERVED
chees ol	oiiin	1	3	0.3333333333	1	521	0.001919385797	0.3314139475	OBSERVED
chees ol	shedy	1	3	0.3333333333	24	521	0.04606525912	0.2872680742	OBSERVED
chees olkal	ol	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
chees opal	kaiin	1	1	1	1	8	0.125	0.875	OBSERVED
chees or	eeodaiin	1	1	1	1	375	0.002666666667	0.9973333333	OBSERVED
chees otairos	loedy	1	1	1	1	2	0.5	0.5	OBSERVED
chees oteey	otal	1	1	1	2	137	0.01459854015	0.9854014599	OBSERVED
chees otshes	okcho	1	1	1	1	1	1	0	OBSERVED
chees salkchdy	chey	1	1	1	1	1	1	0	OBSERVED
chees sheckhedy	qol	1	1	1	1	4	0.25	0.75	OBSERVED
chees tairoar	qotar	1	1	1	1	1	1	0	OBSERVED
chees tchy	rshed	1	1	1	1	27	0.03703703704	0.962962963	OBSERVED
chees y	okeeol	1	1	1	1	281	0.003558718861	0.9964412811	OBSERVED
chees ykeol	chol	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
chees yto	odair	1	1	1	1	5	0.2	0.8	OBSERVED
cheesees sheear	s	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
cheeta oteeey	oteedy	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
cheetam okedar	amam	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
cheetar aiin	cheitaiin	1	1	1	1	469	0.002132196162	0.9978678038	OBSERVED
cheeteey lkar	shedy	1	1	1	2	29	0.06896551724	0.9310344828	OBSERVED
cheeteey otchedy	qokchdy	1	1	1	1	33	0.0303030303	0.9696969697	OBSERVED
cheeteey qokeeey	lkeey	1	1	1	1	28	0.03571428571	0.9642857143	OBSERVED
cheeteey yteody	chpor	1	1	1	1	13	0.07692307692	0.9230769231	OBSERVED
cheety chcthy	okey	1	1	1	1	74	0.01351351351	0.9864864865	OBSERVED
cheety qokaiin	qokar	1	1	1	3	253	0.01185770751	0.9881422925	OBSERVED
cheey cfhey	por	1	1	1	1	2	0.5	0.5	OBSERVED
cheey cheeteey	yteody	1	1	1	1	4	0.25	0.75	OBSERVED
cheey chekeey	dal	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
cheey cheokeol	chcheey	1	1	1	1	2	0.5	0.5	OBSERVED
cheey cheos	ais	1	1	1	1	35	0.02857142857	0.9714285714	OBSERVED
cheey ches	okeody	1	1	1	1	39	0.02564102564	0.9743589744	OBSERVED
cheey chety	sol	1	1	1	1	21	0.04761904762	0.9523809524	OBSERVED
cheey chey	dain	1	3	0.3333333333	4	333	0.01201201201	0.3213213213	OBSERVED
cheey chey	qokeey	2	3	0.6666666667	7	333	0.02102102102	0.6456456456	OBSERVED
cheey chkain	chal	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
cheey chl	or	1	1	1	1	29	0.03448275862	0.9655172414	OBSERVED
cheey chody	ckhol	1	1	1	1	82	0.01219512195	0.987804878	OBSERVED
cheey chol	sain	1	1	1	1	392	0.002551020408	0.9974489796	OBSERVED
cheey choly	ykeeal	1	1	1	1	13	0.07692307692	0.9230769231	OBSERVED
cheey chos	ckhs	1	1	1	1	36	0.02777777778	0.9722222222	OBSERVED
cheey ckheey	qokeor	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
cheey cthey	ory	1	1	1	1	45	0.02222222222	0.9777777778	OBSERVED
cheey ctho	dy	1	1	1	1	20	0.05	0.95	OBSERVED
cheey daiin	chckhedy	1	8	0.125	1	719	0.001390820584	0.1236091794	OBSERVED
cheey daiin	cheokaii	1	8	0.125	1	719	0.001390820584	0.1236091794	OBSERVED
cheey daiin	chy	1	8	0.125	6	719	0.008344923505	0.1166550765	OBSERVED
cheey daiin	cpheodar	1	8	0.125	1	719	0.001390820584	0.1236091794	OBSERVED
cheey daiin	dainl	1	8	0.125	1	719	0.001390820584	0.1236091794	OBSERVED
cheey daiin	oyteeedar	1	8	0.125	1	719	0.001390820584	0.1236091794	OBSERVED
cheey daiin	shey	2	8	0.25	10	719	0.01390820584	0.2360917942	OBSERVED
cheey dair	cthey	1	2	0.5	2	105	0.01904761905	0.480952381	OBSERVED
cheey dair	ol	1	2	0.5	1	105	0.009523809524	0.4904761905	OBSERVED
cheey dal	cheesy	1	3	0.3333333333	1	193	0.00518134715	0.3281519862	OBSERVED
cheey dal	chl	1	3	0.3333333333	1	193	0.00518134715	0.3281519862	OBSERVED
cheey dal	lchedy	1	3	0.3333333333	3	193	0.01554404145	0.3177892919	OBSERVED
cheey dchey	qotchody	1	1	1	1	17	0.05882352941	0.9411764706	OBSERVED
cheey dchom	daiin	1	1	1	1	2	0.5	0.5	OBSERVED
cheey dol	ol	1	1	1	5	103	0.04854368932	0.9514563107	OBSERVED
cheey dor	shey	1	1	1	3	61	0.04918032787	0.9508196721	OBSERVED
cheey dy	qoy	1	1	1	1	182	0.005494505495	0.9945054945	OBSERVED
cheey kaiin	qokeeody	1	2	0.5	1	75	0.01333333333	0.4866666667	OBSERVED
cheey kaiin	ylor	1	2	0.5	1	75	0.01333333333	0.4866666667	OBSERVED
cheey kain	chl	1	1	1	1	40	0.025	0.975	OBSERVED
cheey kais	aiy	1	1	1	1	1	1	0	OBSERVED
cheey kar	ar	1	1	1	3	56	0.05357142857	0.9464285714	OBSERVED
cheey keeol	chedy	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
cheey keey	qokeey	1	1	1	4	53	0.07547169811	0.9245283019	OBSERVED
cheey keo	cheol	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
cheey keolchey	chokchol	1	1	1	1	1	1	0	OBSERVED
cheey lain	al	1	1	1	1	4	0.25	0.75	OBSERVED
cheey lchedy	qokeedy	1	1	1	3	99	0.0303030303	0.9696969697	OBSERVED
cheey lcheey	lkain	1	1	1	1	13	0.07692307692	0.9230769231	OBSERVED
cheey lchey	solarol	1	1	1	1	42	0.02380952381	0.9761904762	OBSERVED
cheey leedaiin	shckhaiin	1	1	1	1	1	1	0	OBSERVED
cheey lkaiin	cheal	1	1	1	1	45	0.02222222222	0.9777777778	OBSERVED
cheey lkeeal	lshey	1	1	1	1	1	1	0	OBSERVED
cheey lkeedy	okohy	1	1	1	1	34	0.02941176471	0.9705882353	OBSERVED
cheey lkeey	lkain	1	2	0.5	1	36	0.02777777778	0.4722222222	OBSERVED
cheey lkeey	olkeey	1	2	0.5	1	36	0.02777777778	0.4722222222	OBSERVED
cheey lol	loeey	1	1	1	1	21	0.04761904762	0.9523809524	OBSERVED
cheey loly	dy	1	1	1	1	1	1	0	OBSERVED
cheey lor	eeedy	1	1	1	1	33	0.0303030303	0.9696969697	OBSERVED
cheey o	l	1	1	1	27	207	0.1304347826	0.8695652174	OBSERVED
cheey okar	olkeedy	1	1	1	1	132	0.007575757576	0.9924242424	OBSERVED
cheey okchaiin	shy	1	1	1	1	2	0.5	0.5	OBSERVED
cheey okchar	aiin	1	1	1	1	4	0.25	0.75	OBSERVED
cheey okchey	qokchy	1	1	1	1	30	0.03333333333	0.9666666667	OBSERVED
cheey okedy	qoky	1	1	1	4	110	0.03636363636	0.9636363636	OBSERVED
cheey okeedy	olkain	1	1	1	1	99	0.0101010101	0.9898989899	OBSERVED
cheey okeeeo	or	1	1	1	1	1	1	0	OBSERVED
cheey okees	odar	1	1	1	1	18	0.05555555556	0.9444444444	OBSERVED
cheey okeey	otain	1	3	0.3333333333	1	177	0.005649717514	0.3276836158	OBSERVED
cheey okeey	sor	1	3	0.3333333333	1	177	0.005649717514	0.3276836158	OBSERVED
cheey okeey	teey	1	3	0.3333333333	1	177	0.005649717514	0.3276836158	OBSERVED
cheey okeol	cheo	1	1	1	2	57	0.0350877193	0.9649122807	OBSERVED
cheey ol	l	1	1	1	3	521	0.00575815739	0.9942418426	OBSERVED
cheey olcheol	kaiin	1	1	1	1	7	0.1428571429	0.8571428571	OBSERVED
cheey olkaiin	ol	1	1	1	3	29	0.1034482759	0.8965517241	OBSERVED
cheey olkain	shedy	1	1	1	2	30	0.06666666667	0.9333333333	OBSERVED
cheey olkeey	otal	1	1	1	1	38	0.02631578947	0.9736842105	OBSERVED
cheey or	aiiin	1	4	0.25	9	375	0.024	0.226	OBSERVED
cheey or	aiin	2	4	0.5	57	375	0.152	0.348	OBSERVED
cheey or	ol	1	4	0.25	10	375	0.02666666667	0.2233333333	OBSERVED
cheey os	sheky	1	1	1	1	34	0.02941176471	0.9705882353	OBSERVED
cheey otal	al	1	2	0.5	2	123	0.0162601626	0.4837398374	OBSERVED
cheey otal	otal	1	2	0.5	2	123	0.0162601626	0.4837398374	OBSERVED
cheey otchy	lkaiin	1	1	1	1	43	0.02325581395	0.976744186	OBSERVED
cheey oteedy	oteedy	1	1	1	1	98	0.01020408163	0.9897959184	OBSERVED
cheey oteeos	aiin	1	1	1	2	14	0.1428571429	0.8571428571	OBSERVED
cheey oteo	chy	1	1	1	1	17	0.05882352941	0.9411764706	OBSERVED
cheey qcthey	qokeey	1	1	1	1	1	1	0	OBSERVED
cheey qekal	cheykaiin	1	1	1	1	1	1	0	OBSERVED
cheey qeteiiin	dary	1	1	1	1	1	1	0	OBSERVED
cheey qoal	qokeedy	1	1	1	1	5	0.2	0.8	OBSERVED
cheey qocky	cheo	1	1	1	1	1	1	0	OBSERVED
cheey qocthdy	otedy	1	1	1	1	1	1	0	OBSERVED
cheey qod	char	1	1	1	1	4	0.25	0.75	OBSERVED
cheey qodaiin	qokaiin	1	1	1	1	42	0.02380952381	0.9761904762	OBSERVED
cheey qody	kesd	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
cheey qoeedaiin	qokeey	1	1	1	1	4	0.25	0.75	OBSERVED
cheey qoek	chody	1	1	1	1	2	0.5	0.5	OBSERVED
cheey qokaiin	saiin	1	3	0.3333333333	2	253	0.00790513834	0.325428195	OBSERVED
cheey qokaiin	shaiin	1	3	0.3333333333	1	253	0.00395256917	0.3293807642	OBSERVED
cheey qokaiin	shol	1	3	0.3333333333	2	253	0.00790513834	0.325428195	OBSERVED
cheey qokain	chey	1	2	0.5	7	269	0.02602230483	0.4739776952	OBSERVED
cheey qokain	okalchy	1	2	0.5	1	269	0.003717472119	0.4962825279	OBSERVED
cheey qokair	okeedy	1	1	1	1	21	0.04761904762	0.9523809524	OBSERVED
cheey qokchdy	qotol	1	1	1	1	49	0.02040816327	0.9795918367	OBSERVED
cheey qokchey	oteey	1	1	1	1	27	0.03703703704	0.962962963	OBSERVED
cheey qokchy	qotody	1	1	1	1	63	0.01587301587	0.9841269841	OBSERVED
cheey qokedy	al	1	1	1	1	266	0.003759398496	0.9962406015	OBSERVED
cheey qokeeshy	okeey	1	1	1	1	1	1	0	OBSERVED
cheey qokeey	cheytain	1	5	0.2	1	296	0.003378378378	0.1966216216	OBSERVED
cheey qokeey	okeey	1	5	0.2	7	296	0.02364864865	0.1763513514	OBSERVED
cheey qokeey	okeoteey	1	5	0.2	1	296	0.003378378378	0.1966216216	OBSERVED
cheey qokeey	qokeeaiin	1	5	0.2	1	296	0.003378378378	0.1966216216	OBSERVED
cheey qokeey	saiin	1	5	0.2	2	296	0.006756756757	0.1932432432	OBSERVED
cheey qokeol	cheal	1	3	0.3333333333	1	49	0.02040816327	0.3129251701	OBSERVED
cheey qokeol	chotol	1	3	0.3333333333	1	49	0.02040816327	0.3129251701	OBSERVED
cheey qokeol	okeol	1	3	0.3333333333	1	49	0.02040816327	0.3129251701	OBSERVED
cheey qokey	qotal	1	2	0.5	1	101	0.009900990099	0.4900990099	OBSERVED
cheey qokey	teey	1	2	0.5	1	101	0.009900990099	0.4900990099	OBSERVED
cheey qokor	otaiin	1	1	1	1	31	0.03225806452	0.9677419355	OBSERVED
cheey qol	keo	1	3	0.3333333333	1	133	0.007518796992	0.3258145363	OBSERVED
cheey qol	lsheedy	1	3	0.3333333333	1	133	0.007518796992	0.3258145363	OBSERVED
cheey qol	rar	1	3	0.3333333333	2	133	0.01503759398	0.3182957393	OBSERVED
cheey qolchedy	qokey	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
cheey qooeey	qolcheey	1	1	1	1	1	1	0	OBSERVED
cheey qor	arom	1	2	0.5	1	19	0.05263157895	0.4473684211	OBSERVED
cheey qor	cheo	1	2	0.5	1	19	0.05263157895	0.4473684211	OBSERVED
cheey qot	cheody	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
cheey qotaiin	chokeeey	1	2	0.5	1	72	0.01388888889	0.4861111111	OBSERVED
cheey qotaiin	ykar	1	2	0.5	1	72	0.01388888889	0.4861111111	OBSERVED
cheey qotain	ly	1	1	1	1	56	0.01785714286	0.9821428571	OBSERVED
cheey qotchedy	qokeeody	1	1	1	1	24	0.04166666667	0.9583333333	OBSERVED
cheey qotchol	qotoeey	1	1	1	1	12	0.08333333333	0.9166666667	OBSERVED
cheey qotchy	daiin	1	1	1	2	59	0.03389830508	0.9661016949	OBSERVED
cheey qotl	shety	1	1	1	1	2	0.5	0.5	OBSERVED
cheey qykeod	oeeo	1	1	1	1	1	1	0	OBSERVED
cheey r	al	1	2	0.5	5	161	0.03105590062	0.4689440994	OBSERVED
cheey r	or	1	2	0.5	2	161	0.01242236025	0.4875776398	OBSERVED
cheey raiin	ar	1	4	0.25	2	58	0.03448275862	0.2155172414	OBSERVED
cheey raiin	otchdy	1	4	0.25	1	58	0.01724137931	0.2327586207	OBSERVED
cheey raiin	shes	1	4	0.25	1	58	0.01724137931	0.2327586207	OBSERVED
cheey raiin	y	1	4	0.25	2	58	0.03448275862	0.2155172414	OBSERVED
cheey rar	okeey	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
cheey roiin	daiin	1	1	1	1	4	0.25	0.75	OBSERVED
cheey s	aiin	1	3	0.3333333333	60	311	0.192926045	0.1404072883	OBSERVED
cheey s	ain	1	3	0.3333333333	7	311	0.02250803859	0.3108252947	OBSERVED
cheey s	cheotey	1	3	0.3333333333	1	311	0.003215434084	0.3301178992	OBSERVED
cheey saiin	cheedy	1	1	1	1	117	0.008547008547	0.9914529915	OBSERVED
cheey sair	ol	1	1	1	2	29	0.06896551724	0.9310344828	OBSERVED
cheey sheckhey	lsheey	1	1	1	1	4	0.25	0.75	OBSERVED
cheey shey	dy	1	1	1	1	265	0.003773584906	0.9962264151	OBSERVED
cheey skeeod	oteeodar	1	1	1	1	1	1	0	OBSERVED
cheey taiin	lkeechey	1	2	0.5	1	40	0.025	0.475	OBSERVED
cheey taiin	qokaiin	1	2	0.5	2	40	0.05	0.45	OBSERVED
cheey teeodan	dy	1	1	1	1	1	1	0	OBSERVED
cheey ykeey	s	1	1	1	1	55	0.01818181818	0.9818181818	OBSERVED
cheey yteodaiin	qoar	1	1	1	1	2	0.5	0.5	OBSERVED
cheeytal checthy	qokain	1	1	1	2	27	0.07407407407	0.9259259259	OBSERVED
chefal daiin	dg	1	1	1	1	719	0.001390820584	0.9986091794	OBSERVED
chefar otchdy	ol	1	1	1	1	24	0.04166666667	0.9583333333	OBSERVED
chefchol or	cheef	1	1	1	2	375	0.005333333333	0.9946666667	OBSERVED
chefchs okor	ol	1	1	1	2	31	0.06451612903	0.935483871	OBSERVED
chefchy qopar	qopchedy	1	1	1	1	5	0.2	0.8	OBSERVED
chefchy shddy	ypches	1	1	1	1	1	1	0	OBSERVED
chefchy shdy	qopchdy	1	1	1	1	41	0.0243902439	0.9756097561	OBSERVED
cheg shedy	qokeey	1	1	1	13	412	0.03155339806	0.9684466019	OBSERVED
chek ain	r	1	1	1	1	104	0.009615384615	0.9903846154	OBSERVED
chek qokchy	dar	1	1	1	2	63	0.03174603175	0.9682539683	OBSERVED
chek xar	odas	1	1	1	1	2	0.5	0.5	OBSERVED
chekackhy chokees	oteedy	1	1	1	1	1	1	0	OBSERVED
chekad r	ol	1	1	1	9	161	0.05590062112	0.9440993789	OBSERVED
chekaiin checkhy	darshed	1	1	1	1	47	0.02127659574	0.9787234043	OBSERVED
chekaiin chekaiin	chky	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
chekaiin chky	chaiin	1	1	1	1	15	0.06666666667	0.9333333333	OBSERVED
chekaiin oees	oiin	1	1	1	1	11	0.09090909091	0.9090909091	OBSERVED
chekaiin okedal	qokeodal	1	1	1	1	9	0.1111111111	0.8888888889	OBSERVED
chekaiin oky	ycheey	1	1	1	1	74	0.01351351351	0.9864864865	OBSERVED
chekaiin os	aiin	1	1	1	5	34	0.1470588235	0.8529411765	OBSERVED
chekaiin otaiin	chy	1	1	1	2	142	0.01408450704	0.985915493	OBSERVED
chekaiin ytchaly	dalchal	1	1	1	1	1	1	0	OBSERVED
chekain chckhey	lchar	1	1	1	1	28	0.03571428571	0.9642857143	OBSERVED
chekain cheal	lain	1	1	1	1	28	0.03571428571	0.9642857143	OBSERVED
chekain cheo	kaiin	1	1	1	1	79	0.01265822785	0.9873417722	OBSERVED
chekain cheol	qoeedy	1	1	1	1	166	0.006024096386	0.9939759036	OBSERVED
chekain dain	chckhy	1	1	1	3	187	0.01604278075	0.9839572193	OBSERVED
chekain ol	dar	1	1	1	3	521	0.00575815739	0.9942418426	OBSERVED
chekain sheo	pshol	1	1	1	1	48	0.02083333333	0.9791666667	OBSERVED
chekaiphy oteeos	aly	1	1	1	1	14	0.07142857143	0.9285714286	OBSERVED
chekal chckhy	kal	1	2	0.5	1	129	0.007751937984	0.492248062	OBSERVED
chekal chckhy	sheky	1	2	0.5	1	129	0.007751937984	0.492248062	OBSERVED
chekal chedy	qokedy	1	1	1	14	472	0.02966101695	0.9703389831	OBSERVED
chekal daiin	dar	1	1	1	7	719	0.009735744089	0.9902642559	OBSERVED
chekal dals	chear	1	1	1	1	6	0.1666666667	0.8333333333	OBSERVED
