operation	from_symbol	to_symbol	position_zero_based	support_edges	examples	interpretation_limit
SUBSTITUTION	m	r	3	32	adam→adar|aiim→aiir|alam→alar|alom→alor|aram→arar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	n	r	3	32	aiin→aiir|aiinod→aiirod|aiiny→aiiry|aran→arar|arany→arary	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	r	1	32	apo→aro|lpaiin→lraiin|op→or|opaiin→oraiin|opaiinam→oraiinam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	s	y	3	32	alos→aloy|cfhs→cfhy|ches→chey|chls→chly|chos→choy	observed edit-distance-1 relation; not a morphological claim
DELETION	f		2	31	aiy→aify|alo→alfo|chfady→chady|chfaiin→chaiin|chfaly→chaly	observed edit-distance-1 relation; not a morphological claim
DELETION	h		4	31	chcfhy→chcfhhy|chckh→chck|chckhhy→chckhhhy|chckhy→chckhhy|chckom→chckhom	observed edit-distance-1 relation; not a morphological claim
INSERTION		f	2	31	aify→aiy|alfo→alo|chady→chfady|chaiin→chfaiin|chaly→chfaly	observed edit-distance-1 relation; not a morphological claim
INSERTION		h	4	31	chcfhhy→chcfhy|chck→chckh|chckhhhy→chckhhy|chckhhy→chckhy|chckhom→chckom	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	y	0	31	a→y|acheody→ycheody|adair→ydair|adal→ydal|adam→ydam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	p	1	31	ddy→dpy|ed→ep|ldaiin→lpaiin|ldar→lpar|ldchey→lpchey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	m	3	31	adal→adam|aiil→aiim|alal→alam|alol→alom|aral→aram	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	s	2	31	ail→ais|chl→chs|chly→chsy|dal→das|dalam→dasam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	s	2	31	air→ais|chr→chs|chry→chsy|dar→das|daram→dasam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	s	y	6	31	chckhes→chckhey|chedchs→chedchy|chedees→chedeey|cheeods→cheeody|chefchs→chefchy	observed edit-distance-1 relation; not a morphological claim
DELETION	s		6	30	cheeods→cheeod|chekeys→chekey|chokeos→chokeo|cholols→cholol|chotals→chotal	observed edit-distance-1 relation; not a morphological claim
INSERTION		s	6	30	cheeod→cheeods|chekey→chekeys|chokeo→chokeos|cholol→cholols|chotal→chotals	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	y	0	30	e→y|ear→yar|echedy→ychedy|ed→yd|edy→ydy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	r	6	30	chckhom→chckhor|chcpham→chcphar|chctham→chcthar|cheetam→cheetar|chekaim→chekair	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	y	6	30	checkho→checkhy|cheekeo→cheekey|cheokeo→cheokey|chetcho→chetchy|chokaro→chokary	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	d	0	29	a→d|acheody→dcheody|acthy→dcthy|adal→ddal|ador→ddor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	t	4	29	chchdy→chchty|cheed→cheet|cheedar→cheetar|cheedy→cheety|cheod→cheot	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	l	0	29	e→l|ear→lar|echedy→lchedy|ed→ld|edy→ldy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	k	3	29	chcfhal→chckhal|chcfhdy→chckhdy|chcfhey→chckhey|chcfhhy→chckhhy|chcfhol→chckhol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	l	1	29	of→ol|ofaiin→olaiin|ofain→olain|ofair→olair|ofal→olal	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	e	0	28	d→e|dais→eais|dar→ear|dchedy→echedy|dd→ed	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	s	0	28	f→s|faiir→saiir|faiis→saiis|fairal→sairal|far→sar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	t	3	28	chcfhal→chcthal|chcfhdy→chcthdy|chcfhey→chcthey|chcfhhy→chcthhy|chcfhol→chcthol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	y	0	28	f→y|faiir→yaiir|far→yar|fc→yc|fcham→ycham	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	s	1	28	aky→asy|ck→cs|ekedy→esedy|lkair→lsair|lkan→lsan	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	o	2	28	arl→aro|chl→cho|chlal→choal|chlar→choar|chldaiin→chodaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	y	4	28	airol→airoy|alchl→alchy|arodl→arody|chedl→chedy|chekl→cheky	observed edit-distance-1 relation; not a morphological claim
DELETION	c		2	27	chhty→chchty|chk→chck|chkhhy→chckhhy|chky→chcky|chtchy→chctchy	observed edit-distance-1 relation; not a morphological claim
INSERTION		c	2	27	chchty→chhty|chck→chk|chckhhy→chkhhy|chcky→chky|chctchy→chtchy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	k	0	27	e→k|eais→kais|ear→kar|echedy→kchedy|ee→ke	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	t	0	27	e→t|eais→tais|ear→tar|echedy→tchedy|eedy→tedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	r	3	27	aloky→alory|chek→cher|cheky→chery|chok→chor|chokaiin→choraiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	s	5	27	chckho→chckhs|cheeeo→cheees|ctholo→cthols|daiino→daiins|dcheeo→dchees	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	y	4	27	chalr→chaly|cheor→cheoy|chkor→chkoy|ckhor→ckhoy|cphor→cphoy	observed edit-distance-1 relation; not a morphological claim
DELETION	r		6	26	chckhor→chckho|chcthor→chctho|chedyor→chedyo|cheetar→cheeta|cheodar→cheoda	observed edit-distance-1 relation; not a morphological claim
INSERTION		r	6	26	chckho→chckhor|chctho→chcthor|chedyo→chedyor|cheeta→cheetar|cheoda→cheodar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	s	2	26	alkar→alsar|alky→alsy|chk→chs|chkaly→chsaly|chkey→chsey	observed edit-distance-1 relation; not a morphological claim
DELETION	a		5	25	cheedls→cheedals|cheeta→cheet|chekol→chekoal|cheoda→cheod|cheodl→cheodal	observed edit-distance-1 relation; not a morphological claim
DELETION	h		3	25	acthy→acthhy|aiky→aikhy|aiphhey→aiphey|alsy→alshy|chcky→chchky	observed edit-distance-1 relation; not a morphological claim
INSERTION		a	5	25	cheedals→cheedls|cheet→cheeta|chekoal→chekol|cheod→cheoda|cheodal→cheodl	observed edit-distance-1 relation; not a morphological claim
INSERTION		h	3	25	acthhy→acthy|aikhy→aiky|aiphey→aiphhey|alshy→alsy|chchky→chcky	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	p	3	25	alcfhy→alcphy|chcfhdy→chcphdy|chcfhey→chcphey|chcfhhy→chcphhy|chcfhol→chcphol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	r	2	25	aiky→airy|chk→chr|chky→chry|daky→dary|dokor→doror	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	y	4	24	cheda→chedy|chedady→chedydy|chedal→chedyl|chedar→chedyr|cheta→chety	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	r	5	24	cheeod→cheeor|chekad→chekar|ctheod→ctheor|dairod→dairor|dcheod→dcheor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	s	2	24	che→chs|chealy→chsaly|ched→chsd|chedy→chsdy|cheey→chsey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	s	4	24	cheeey→cheesy|chokey→choksy|kchee→kches|lshee→lshes|olchey→olchsy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	y	2	24	ail→aiy|arl→ary|chl→chy|chldaiin→chydaiin|dal→day	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	s	3	24	cheo→ches|cheoy→chesy|ckho→ckhs|ctho→cths|dalo→dals	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	t	2	24	choaiin→chtaiin|choal→chtal|choar→chtar|chochor→chtchor|chochy→chtchy	observed edit-distance-1 relation; not a morphological claim
DELETION	f		3	23	alchy→alcfhy|chchdy→chcfhdy|chchy→chcfhy|chef→che|chefaiin→cheaiin	observed edit-distance-1 relation; not a morphological claim
INSERTION		f	3	23	alcfhy→alchy|chcfhdy→chchdy|chcfhy→chchy|che→chef|cheaiin→chefaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	e	3	23	chea→chee|chead→cheed|cheas→chees|choar→choer|cthar→cther	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	s	4	23	cheoc→cheos|chokchor→chokshor|chokchy→chokshy|cholchey→cholshey|chotchol→chotshol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	p	2	23	chd→chp|chdaiin→chpaiin|chdal→chpal|chdaly→chpaly|chdar→chpar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	o	0	23	f→o|faiir→oaiir|far→oar|farar→oarar|fc→oc	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	t	3	23	chelal→chetal|chol→chot|cholaiin→chotaiin|cholal→chotal|cholam→chotam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	y	3	23	aldl→aldy|alol→aloy|chol→choy|chtl→chty|cthl→cthy	observed edit-distance-1 relation; not a morphological claim
DELETION	h		0	22	ha→a|haiin→aiin|hain→ain|har→ar|hc→c	observed edit-distance-1 relation; not a morphological claim
INSERTION		h	0	22	a→ha|aiin→haiin|ain→hain|ar→har|c→hc	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	y	2	22	ara→ary|araly→aryly|cha→chy|chad→chyd|chady→chydy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	e	1	22	ddy→dey|ed→ee|edy→eey|hdy→hey|kdchody→kechody	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	f	1	22	ldar→lfar|ldol→lfol|od→of|odaiin→ofaiin|odain→ofain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	l	0	22	f→l|far→lar|fcham→lcham|fchdy→lchdy|fchedy→lchedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	k	1	22	ch→ck|chaiin→ckaiin|chal→ckal|chcheey→ckcheey|cheo→ckeo	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	o	1	22	cl→co|dl→do|dlaiin→doaiin|dlal→doal|dld→dod	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	n	r	6	22	chekain→chekair|chodain→chodair|chotain→chotair|chtaiin→chtaiir|loraiin→loraiir	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	s	6	22	chekair→chekais|chokeor→chokeos|chotair→chotais|dcheeor→dcheeos|kcheeor→kcheeos	observed edit-distance-1 relation; not a morphological claim
DELETION	k		5	21	alchey→alcheky|cheolk→cheol|cheolkain→cheolain|ckhockhy→ckhochy|dcheey→dcheeky	observed edit-distance-1 relation; not a morphological claim
DELETION	m		3	21	alom→alo|aram→ara|arom→aro|cham→cha|chom→cho	observed edit-distance-1 relation; not a morphological claim
INSERTION		k	5	21	alcheky→alchey|cheol→cheolk|cheolain→cheolkain|ckhochy→ckhockhy|dcheeky→dcheey	observed edit-distance-1 relation; not a morphological claim
INSERTION		m	3	21	alo→alom|ara→aram|aro→arom|cha→cham|cho→chom	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	p	3	21	arodam→aropam|chad→chap|ched→chep|chedaiin→chepaiin|chedar→chepar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	y	6	21	chcthed→chcthey|checkhd→checkhy|chokeed→chokeey|dalched→dalchey|darshed→darshey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	t	3	21	chee→chet|cheeaiin→chetaiin|cheeal→chetal|cheear→chetar|cheedy→chetdy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	y	4	21	aikhe→aikhy|chese→chesy|chetedar→chetydar|fchee→fchey|kchee→kchey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	r	1	21	of→or|ofaiin→oraiin|ofaiino→oraiino|ofain→orain|ofair→orair	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	p	2	21	chl→chp|chlal→chpal|chlar→chpar|chlor→chpor|chly→chpy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	s	4	21	cheam→cheas|cheom→cheos|cphom→cphos|cthom→cthos|daiim→daiis	observed edit-distance-1 relation; not a morphological claim
DELETION	m		5	20	chedam→cheda|chetam→cheta|chotom→choto|lcheam→lchea|okalam→okala	observed edit-distance-1 relation; not a morphological claim
DELETION	o		6	20	chckheody→chckhedy|chekchy→chekchoy|chetchody→chetchdy|chofchody→chofchdy|chokaro→chokar	observed edit-distance-1 relation; not a morphological claim
INSERTION		m	5	20	cheda→chedam|cheta→chetam|choto→chotom|lchea→lcheam|okala→okalam	observed edit-distance-1 relation; not a morphological claim
INSERTION		o	6	20	chckhedy→chckheody|chekchoy→chekchy|chetchdy→chetchody|chofchdy→chofchody|chokar→chokaro	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	k	5	20	aikhedy→aikheky|alchedy→alcheky|cheoldain→cheolkain|dcheedy→dcheeky|dcheody→dcheoky	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	q	0	20	e→q|ear→qar|eckhear→qckhear|ee→qe|eedy→qedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	m	6	20	chckhal→chckham|chckhol→chckhom|chcthal→chctham|cheodal→cheodam|cheokal→cheokam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	n	3	20	aiil→aiin|aiildy→aiindy|aiily→aiiny|aral→aran|araly→arany	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	n	4	20	aiiil→aiiin|alkal→alkan|cheal→chean|cphal→cphan|cthal→cthan	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	y	1	20	al→ay|dl→dy|dlaiin→dyaiin|dlchy→dychy|dls→dys	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	t	3	20	cher→chet|chery→chety|chor→chot|choraiin→chotaiin|chorain→chotain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	s	t	1	20	asy→aty|es→et|esedy→etedy|ls→lt|os→ot	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	s	3	19	chee→ches|cheeey→chesey|cheey→chesy|cthe→cths|dchey→dchsy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	r	0	19	f→r|faiir→raiir|far→rar|fary→rary|fchdy→rchdy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	y	4	19	amchg→amchy|aralg→araly|cheeg→cheey|cheog→cheoy|daiig→daiiy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	r	3	19	chaiiin→chariin|daii→dair|daiial→dairal|daiidy→dairdy|daiig→dairg	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	s	3	19	chek→ches|chekey→chesey|chekhy→cheshy|cheky→chesy|chok→chos	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	s	3	19	alom→alos|arom→aros|cham→chas|chom→chos|daim→dais	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	s	2	19	alo→als|aloy→alsy|cho→chs|chod→chsd|chody→chsdy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	y	1	18	da→dy|dackhy→dyckhy|dady→dydy|daky→dyky|dal→dyl	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	y	3	18	alda→aldy|chda→chdy|chea→chey|cheal→cheyl|cheas→cheys	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	f	3	18	ched→chef|chedaiin→chefaiin|chedain→chefain|chedal→chefal|chedar→chefar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	l	6	18	chcthod→chcthol|chekeod→chekeol|chkeeod→chkeeol|chokeod→chokeol|choteody→choteoly	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	o	1	18	dd→do|ddal→doal|ed→eo|ld→lo|ldaiin→loaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	o	5	18	chckhd→chckho|chcthd→chctho|cthold→ctholo|dcheedy→dcheeoy|okechdy→okechoy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	s	0	18	e→s|eais→sais|ear→sar|echedy→schedy|eeedy→seedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	r	2	18	aim→air|dam→dar|dama→dara|damo→daro|dom→dor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	s	1	18	ep→es|lpair→lsair|op→os|opaiin→osaiin|opain→osain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	t	2	18	chry→chty|dory→doty|korchy→kotchy|loral→lotal|loror→lotor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	s	y	2	18	ais→aiy|als→aly|chs→chy|chsd→chyd|chsdy→chydy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	i	2	17	arain→ariin|chain→chiin|daar→dair|daarod→dairod|doaiin→doiiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	s	6	17	chekeod→chekeos|chokeed→chokees|chokeod→chokeos|dalched→dalches|olkeeed→olkeees	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	m	2	17	ail→aim|dal→dam|dalo→damo|dol→dom|dyl→dym	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	r	7	17	cheokeol→cheokeor|chockhol→chockhor|chokchol→chokchor|okeeodal→okeeodar|orchedal→orchedar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	n	3	17	aiim→aiin|amam→aman|aram→aran|cham→chan|chom→chon	observed edit-distance-1 relation; not a morphological claim
DELETION	e		7	16	cheekchy→cheekchey|cheockhy→cheockhey|cheocphy→cheocphey|cheocthy→cheocthey|cheokchy→cheokchey	observed edit-distance-1 relation; not a morphological claim
DELETION	h		5	16	checkhedy→checkedy|checthy→checthhy|chockhor→chockhhor|chocthy→chocthhy|chocty→chocthy	observed edit-distance-1 relation; not a morphological claim
INSERTION		e	7	16	cheekchey→cheekchy|cheockhey→cheockhy|cheocphey→cheocphy|cheocthey→cheocthy|cheokchey→cheokchy	observed edit-distance-1 relation; not a morphological claim
INSERTION		h	5	16	checkedy→checkhedy|checthhy→checthy|chockhhor→chockhor|chocthhy→chocthy|chocthy→chocty	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	y	5	16	cheeta→cheety|chekea→chekey|cheoda→cheody|choeea→choeey|ckheda→ckhedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	f	2	16	chdaiin→chfaiin|chdaly→chfaly|chdchol→chfchol|chdol→chfol|oldaiin→olfaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	h	2	16	cheo→chho|chety→chhty|ckeo→ckho|ckey→ckhy|cpeey→cphey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	p	2	16	che→chp|cheaiin→chpaiin|cheal→chpal|chealy→chpaly|chear→chpar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	p	2	16	chfady→chpady|chfaiin→chpaiin|chfaly→chpaly|chfchol→chpchol|olfchedy→olpchedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	s	1	16	al→as|aly→asy|cl→cs|dl→ds|ol→os	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	s	6	16	chekeol→chekeos|chokeol→chokeos|dcheeol→dcheeos|olkeeol→olkeeos|olsheol→olsheos	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	y	5	16	cheeol→cheeoy|chekol→chekoy|cheodl→cheody|darall→daraly|dsheol→dsheoy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	t	1	16	coy→cty|doal→dtal|eo→et|lo→lt|loaiin→ltaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	s	1	16	ar→as|ariin→asiin|ary→asy|dr→ds|lr→ls	observed edit-distance-1 relation; not a morphological claim
DELETION	g		3	15	arag→ara|chag→cha|cheg→che|chog→cho|daig→dai	observed edit-distance-1 relation; not a morphological claim
DELETION	g		4	15	aralg→aral|cheeg→chee|cheog→cheo|cthog→ctho|daiig→daii	observed edit-distance-1 relation; not a morphological claim
DELETION	n		3	15	aiindy→aiidy|aiios→aiinos|aran→ara|chan→cha|chon→cho	observed edit-distance-1 relation; not a morphological claim
DELETION	n		4	15	chean→chea|daiin→daii|daiindy→daiidy|daiio→daiino|daiiody→daiinody	observed edit-distance-1 relation; not a morphological claim
INSERTION		g	3	15	ara→arag|cha→chag|che→cheg|cho→chog|dai→daig	observed edit-distance-1 relation; not a morphological claim
INSERTION		g	4	15	aral→aralg|chee→cheeg|cheo→cheog|ctho→cthog|daii→daiig	observed edit-distance-1 relation; not a morphological claim
INSERTION		n	3	15	aiidy→aiindy|aiinos→aiios|ara→aran|cha→chan|cho→chon	observed edit-distance-1 relation; not a morphological claim
INSERTION		n	4	15	chea→chean|daii→daiin|daiidy→daiindy|daiino→daiio|daiinody→daiiody	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	e	1	15	dady→dedy|dal→del|dasy→desy|day→dey|eais→eeis	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	m	4	15	chead→cheam|cheod→cheom|cphod→cphom|cthod→cthom|dchod→dchom	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	s	1	15	dd→ds|ed→es|ld→ls|od→os|odaiin→osaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	r	1	15	le→lr|oeain→orain|oeal→oral|oear→orar|oechedy→orchedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	k	4	15	checfhy→checkhy|cheefar→cheekar|cheefy→cheeky|chocfhdy→chockhdy|chocfhey→chockhey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	k	0	15	h→k|ha→ka|haiin→kaiin|hain→kain|har→kar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	o	3	15	chek→cheo|chekaiin→cheoaiin|chekal→cheoal|chekar→cheoar|chekl→cheol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	n	5	15	chdail→chdain|chedal→chedan|chetal→chetan|chokal→chokan|odaiil→odaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	y	4	15	cheom→cheoy|cphom→cphoy|daiim→daiiy|fchom→fchoy|kchom→kchoy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	p	2	15	cho→chp|choaiin→chpaiin|choal→chpal|choar→chpar|chochar→chpchar	observed edit-distance-1 relation; not a morphological claim
DELETION	l		7	14	checkhol→checkho|cheokeol→cheokeo|chokchol→chokcho|chopchol→chopcho|chotchol→chotcho	observed edit-distance-1 relation; not a morphological claim
DELETION	p		4	14	checphey→chechey|cheepaiin→cheeaiin|cheop→cheo|cheopaiin→cheoaiin|cheopor→cheoor	observed edit-distance-1 relation; not a morphological claim
INSERTION		l	7	14	checkho→checkhol|cheokeo→cheokeol|chokcho→chokchol|chopcho→chopchol|chotcho→chotchol	observed edit-distance-1 relation; not a morphological claim
INSERTION		p	4	14	chechey→checphey|cheeaiin→cheepaiin|cheo→cheop|cheoaiin→cheopaiin|cheoor→cheopor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	h	0	14	d→h|da→ha|daiin→haiin|dain→hain|dar→har	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	y	2	14	ald→aly|amd→amy|chd→chy|chddy→chydy|dld→dly	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	h	5	14	chcfhey→chcfhhy|chckhey→chckhhy|chcphedy→chcphhdy|chcphey→chcphhy|chcthey→chcthhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	y	1	14	deaiin→dyaiin|dedy→dydy|del→dyl|ee→ey|he→hy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	l	2	14	chfol→chlol|olfaiin→ollaiin|qof→qol|qofaiin→qolaiin|qofain→qolain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	s	0	14	h→s|ha→sa|haiin→saiin|hain→sain|har→sar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	t	1	14	chchy→ctchy|chechy→ctechy|ches→ctes|chey→ctey|chho→ctho	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	p	4	14	checkhedy→checphedy|checkhey→checphey|cheekaiin→cheepaiin|cheok→cheop|cheokaiin→cheopaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	n	4	14	alkam→alkan|chaim→chain|cheam→chean|ctham→cthan|daiim→daiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	y	2	14	air→aiy|chr→chy|dar→day|dlr→dly|lor→loy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	y	3	14	alor→aloy|cher→chey|chor→choy|eeer→eeey|keor→keoy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	s	t	3	14	ches→chet|chesey→chetey|chesy→chety|chos→chot|chosaiin→chotaiin	observed edit-distance-1 relation; not a morphological claim
DELETION	f		4	13	chechy→checfhy|cheef→chee|cheefar→cheear|cheey→cheefy|chochor→chocfhor	observed edit-distance-1 relation; not a morphological claim
INSERTION		f	4	13	checfhy→chechy|chee→cheef|cheear→cheefar|cheefy→cheey|chocfhor→chochor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	d	3	13	chea→ched|cheal→chedl|cheas→cheds|choal→chodl|dara→dard	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	d	4	13	cheoal→cheodl|chodaal→choddal|lchea→lched|lchear→lchedr|okala→okald	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	h	1	13	caeky→cheky|sa→sh|sachy→shchy|sakaiin→shkaiin|sakar→shkar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	l	0	13	c→l|ckaiin→lkaiin|ckal→lkal|ckchol→lkchol|ckeo→lkeo	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	g	4	13	cheed→cheeg|cheod→cheog|cthod→cthog|daimd→daimg|dchod→dchog	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	q	0	13	h→q|ha→qa|haiin→qaiin|har→qar|he→qe	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	l	2	13	aiidy→aildy|dai→dal|daichy→dalchy|daid→dald|daidy→daldy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	l	4	13	cheok→cheol|cheokain→cheolain|cheokchey→cheolchey|cheokor→cheolor|cheoky→cheoly	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	r	3	13	aiip→aiir|chap→char|chep→cher|chepy→chery|chop→chor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	y	5	13	alshdr→alshdy|cheeor→cheeoy|chekor→chekoy|dsheor→dsheoy|lchedr→lchedy	observed edit-distance-1 relation; not a morphological claim
