evidence_type	schema_id	status	allowed	required_fields	forbidden_fields	nullable_fields	dependency_rule	normative_source	notes
structural_gate	urn:g1v2:structural_gate:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_gate	urn:g1v2:structural_gate:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_gate	urn:g1v2:structural_gate:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_gate	urn:g1v2:structural_gate:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	PASS	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	FAIL	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	NOT_ASSESSABLE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	NOT_REACHED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	FIT_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	NUMERICAL_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	INDUCTION_CAP	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	GENERATION_FAILURE	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
structural_verdict	urn:g1v2:structural_verdict:1	PROTOCOL_VETO	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Task85c status registry + reachability	no consistent evidence-type/status mapping derivable before expanded-defect stop
