current_path	category	used_by	scientific_dependency	proposed_path	action	notes
experiments/msdos-v2-0-v1	EXPERIMENT_ARTIFACT	comparative corpus run (MS-DOS 2.0 manual)	yes	experiments/msdos-v2-0-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/recoverability-v1	EXPERIMENT_ARTIFACT	Task67 experiment (multi-file)	yes	experiments/recoverability-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; PARTIAL (no git_commit at manifest level)
experiments/rozanova-temerev-v1	EXPERIMENT_ARTIFACT	Task58 experiment	yes	experiments/rozanova-temerev-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; PARTIAL (no git_commit)
experiments/task69-literature	EXPERIMENT_ARTIFACT	Task69 literature-search artifact	no	experiments/task69-literature	UNCHANGED	canonical path preserved per Task70 §7; tracked; includes co-located task69.tgz frozen snapshot
experiments/token-formation-v1	EXPERIMENT_ARTIFACT	Task62 experiment	yes	experiments/token-formation-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; PARTIAL (no git_commit)
experiments/token-repetition-v1	EXPERIMENT_ARTIFACT	Task60 experiment	yes	experiments/token-repetition-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; COMPLETE provenance
experiments/token-transition-v1	EXPERIMENT_ARTIFACT	Task63 experiment	yes	experiments/token-transition-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; PARTIAL (no git_commit)
experiments/visnusahasranama-v1	EXPERIMENT_ARTIFACT	comparative corpus run (Sanskrit)	yes	experiments/visnusahasranama-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/visnusahasranama-v1-analysis.tar.gz	EXPERIMENT_ARTIFACT	frozen analysis snapshot	no	experiments/visnusahasranama-v1-analysis.tar.gz	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/voynich-token-full-reverse-v1	EXPERIMENT_ARTIFACT	corpus-transform orientation run	yes	experiments/voynich-token-full-reverse-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/voynich-token-glyph-reverse-v1	EXPERIMENT_ARTIFACT	corpus-transform orientation run	yes	experiments/voynich-token-glyph-reverse-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/voynich-token-revers-v1	EXPERIMENT_ARTIFACT	corpus-transform orientation run	yes	experiments/voynich-token-revers-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/voynich-v1	EXPERIMENT_ARTIFACT	Task36 baseline: 27-stage full pipeline run, frozen	yes	experiments/voynich-v1	UNCHANGED	canonical path preserved per Task70 §7; tracked; frozen production baseline
experiments/voynich-v1-analysis.tar.gz	EXPERIMENT_ARTIFACT	frozen analysis snapshot	no	experiments/voynich-v1-analysis.tar.gz	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/voynich-v2	EXPERIMENT_ARTIFACT	later full-pipeline run	yes	experiments/voynich-v2	UNCHANGED	canonical path preserved per Task70 §7; tracked
experiments/voynich-v3	EXPERIMENT_ARTIFACT	later full-pipeline run	yes	experiments/voynich-v3	UNCHANGED	canonical path preserved per Task70 §7; tracked
CORPUS_SIZE_AUDIT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/CORPUS_SIZE_AUDIT.md	MOVED
DISTRIBUTED_EXECUTION_AUDIT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/DISTRIBUTED_EXECUTION_AUDIT.md	MOVED
DISTRIBUTED_EXECUTION_IMPLEMENTATION.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/DISTRIBUTED_EXECUTION_IMPLEMENTATION.md	MOVED
DISTRIBUTED_EXECUTION_OPERATIONS.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/DISTRIBUTED_EXECUTION_OPERATIONS.md	MOVED
DISTRIBUTED_GENERIC_STAGES_AUDIT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/DISTRIBUTED_GENERIC_STAGES_AUDIT.md	MOVED
DOYLE_CONTAMINATION_AUDIT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/DOYLE_CONTAMINATION_AUDIT.md	MOVED
EXPERIMENT_ISOLATION_AUDIT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/EXPERIMENT_ISOLATION_AUDIT.md	MOVED
FINGERPRINT_SCHEMA.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/FINGERPRINT_SCHEMA.md	MOVED
GENERIC_CORPUS_ORCHESTRATION.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/GENERIC_CORPUS_ORCHESTRATION.md	MOVED
GENERIC_STAGE_APPLICABILITY_AUDIT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/GENERIC_STAGE_APPLICABILITY_AUDIT.md	MOVED
PERFORMANCE_AUDIT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/PERFORMANCE_AUDIT.md	MOVED
PERFORMANCE_REFACTOR_REPORT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/PERFORMANCE_REFACTOR_REPORT.md	MOVED
PIPELINE_OUTPUT_CONTRACT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/PIPELINE_OUTPUT_CONTRACT.md	MOVED
PIPELINE_SCALABILITY_AUDIT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/PIPELINE_SCALABILITY_AUDIT.md	MOVED
PIPELINE_SCALABILITY_REFACTOR_REPORT.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/PIPELINE_SCALABILITY_REFACTOR_REPORT.md	MOVED
REMOTE_WORKER_LIFECYCLE.md	DOCUMENTATION (cross-cutting methods/infra)	referenced from README.md and other docs	no	docs/methods/REMOTE_WORKER_LIFECYCLE.md	MOVED
bibliography.bib	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/bibliography.bib	MOVED
CANDIDATE_DISCRIMINATORS.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/CANDIDATE_DISCRIMINATORS.tsv	MOVED
CLAIMS.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/CLAIMS.tsv	MOVED
CONTRADICTIONS.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/CONTRADICTIONS.tsv	MOVED
CONTROL_AUDIT.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/CONTROL_AUDIT.tsv	MOVED
FREQUENCY_HOMOPHONE_MODEL.md	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/FREQUENCY_HOMOPHONE_MODEL.md	MOVED
HYPOTHESIS_EVIDENCE_MATRIX.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/HYPOTHESIS_EVIDENCE_MATRIX.tsv	MOVED
LITERATURE_CATALOG.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/LITERATURE_CATALOG.tsv	MOVED
LITERATURE_SYNTHESIS.md	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/LITERATURE_SYNTHESIS.md	MOVED
NON_DISCRIMINATING_PROPERTIES.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/NON_DISCRIMINATING_PROPERTIES.tsv	MOVED
NOVELTY_AUDIT.md	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/NOVELTY_AUDIT.md	MOVED
OUR_PIPELINE_METRIC_INVENTORY.md	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/OUR_PIPELINE_METRIC_INVENTORY.md	MOVED
PRIOR_WORK_COMPARISON.md	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/PRIOR_WORK_COMPARISON.md	MOVED
RECOVERABILITY_AUDIT.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/RECOVERABILITY_AUDIT.tsv	MOVED
REPLICATION_MATRIX.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/REPLICATION_MATRIX.tsv	MOVED
ROZANOVA_TEMEREV_METHOD.md	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/ROZANOVA_TEMEREV_METHOD.md	MOVED
SEARCH_LOG.md	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/SEARCH_LOG.md	MOVED
TASK58_67_LITERATURE_CROSSWALK.tsv	DOCUMENTATION (Task56/68/69 literature)	Task68/69 literature audit	no	docs/literature/TASK58_67_LITERATURE_CROSSWALK.tsv	MOVED
task68.tgz	DOCUMENTATION (frozen literature snapshot)	duplicate of docs/literature/* content	no	task68.tgz	UNCHANGED	untracked/gitignored (git mv failed: not under version control) - left in place per scratch-cleanup decision, corrected from an initial fork claim that it was tracked
RESEARCH_GAPS.md	DOCUMENTATION (roadmap)	forward-looking, not yet actioned	no	docs/roadmap/RESEARCH_GAPS.md	MOVED
BEGIN_END_ANALYZE_DISTRIBUTED_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/begin-end-analyze/BEGIN_END_ANALYZE_DISTRIBUTED_AUDIT.md	MOVED	co-located with the tool/experiment it documents
COMPARISON_METRIC_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/experiment-compare/COMPARISON_METRIC_AUDIT.md	MOVED	co-located with the tool/experiment it documents
CONDITIONAL_REGIME_GENERIC_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/conditional-regime-analyze/CONDITIONAL_REGIME_GENERIC_AUDIT.md	MOVED	co-located with the tool/experiment it documents
EXPERIMENT_COMPARISON.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/experiment-compare/EXPERIMENT_COMPARISON.md	MOVED	co-located with the tool/experiment it documents
INVERSE_HOMOPHONY_DESIGN.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	research/phase1/inverse-homophony/INVERSE_HOMOPHONY_DESIGN.md	MOVED	co-located with the tool/experiment it documents
INVERSE_TRANSPOSITION_METRIC_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	research/phase1/inverse-transposition-search/INVERSE_TRANSPOSITION_METRIC_AUDIT.md	MOVED	co-located with the tool/experiment it documents
INVERSE_TRANSPOSITION_TASK54_1_REPORT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	research/phase1/inverse-transposition-search/INVERSE_TRANSPOSITION_TASK54_1_REPORT.md	MOVED	co-located with the tool/experiment it documents
NORMALIZATION_COMPARE_DISTRIBUTION_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/normalization-compare/NORMALIZATION_COMPARE_DISTRIBUTION_AUDIT.md	MOVED	co-located with the tool/experiment it documents
ORIENTATION_METRIC_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/codex_orientation/ORIENTATION_METRIC_AUDIT.md	MOVED	co-located with the tool/experiment it documents
ORIENTATION_TRANSFORMATION.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/codex_orientation/ORIENTATION_TRANSFORMATION.md	MOVED	co-located with the tool/experiment it documents
STAGE13_STRUCTURAL_PAIR_DECOMPOSE_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/structural-pair-decompose/STAGE13_STRUCTURAL_PAIR_DECOMPOSE_AUDIT.md	MOVED	co-located with the tool/experiment it documents
STRUCTURAL_PROJECTION_DISTRIBUTED_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/structural-projection-analyze/STRUCTURAL_PROJECTION_DISTRIBUTED_AUDIT.md	MOVED	co-located with the tool/experiment it documents
VOCABULARY_GROWTH_ANALYSIS.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/vocabulary-growth-analyze/VOCABULARY_GROWTH_ANALYSIS.md	MOVED	co-located with the tool/experiment it documents
VOCABULARY_GROWTH_DISTRIBUTED_AUDIT.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/vocabulary-growth-analyze/VOCABULARY_GROWTH_DISTRIBUTED_AUDIT.md	MOVED	co-located with the tool/experiment it documents
VOCABULARY_GROWTH_FIRST_RUNS.md	DOCUMENTATION (single-tool/experiment)	documents exactly one tool/experiment	no	cmd/vocabulary-growth-analyze/VOCABULARY_GROWTH_FIRST_RUNS.md	MOVED	co-located with the tool/experiment it documents
task69.tgz	EXPERIMENT_ARTIFACT (frozen snapshot)	duplicate of experiments/task69-literature content	no	experiments/task69-literature/task69.tgz	MOVED	was git-tracked (force-added); co-located with the directory it mirrors
run-full-analysis.sh	ANALYSIS_PIPELINE (maintenance script)	documented in README.md	yes - orchestrates Stage1-10	scripts/maintenance/run-full-analysis.sh	MOVED	internal go run/build paths updated to cmd/<dir>
run-normalization-analysis.sh	ANALYSIS_PIPELINE (maintenance script)	called by run-full-analysis.sh	yes	scripts/maintenance/run-normalization-analysis.sh	MOVED	internal go build paths updated to cmd/<dir>
make_analysis_archive.sh	ANALYSIS_PIPELINE (maintenance script)	manual archival of experiment outputs	no	scripts/maintenance/make_analysis_archive.sh	MOVED	paths relative to $EXP, unaffected by other moves
corpus_size_audit_test.go	TEST	go test ./...	no - lint guard, not a unit test	corpus_size_audit_test.go	UNCHANGED	deliberately kept at repo root: walks '.' expecting repo-root cwd to scan the whole tree for a historical corpus-size constant; moving it into cmd/voinich would silently narrow its scan to one subtree
README.md	DOCUMENTATION	primary how-to for Stage1-10	no	README.md	UPDATED	build/run snippets + structure section rewritten for cmd/ layout; still only documents Stage1-10, not 11-28/independent/distributed - pre-existing staleness, flagged not fixed
go.mod	REUSABLE_LIBRARY (build config)	go build/test/vet	no	go.mod	UNCHANGED	NOT tracked in git at all (verified via git cat-file -e main:go.mod -> missing), despite also being gitignored - a fresh clone of this repo cannot build; real collaboration/release blocker, see TASK70_ISSUES.md
go.sum	REUSABLE_LIBRARY (build config)	go build/test/vet	no	go.sum	UNCHANGED	same as go.mod: untracked, not just gitignored
.gitignore	REUSABLE_LIBRARY (repo config)	git	no	.gitignore	UNCHANGED	documents but does not match tracked reality for experiments/, task69.tgz, go.mod, go.sum - see TASK70_ISSUES.md
ansible/deploy-workers.yml	REUSABLE_LIBRARY (ops)	manual worker fleet deploy	no	ansible/deploy-workers.yml	UNCHANGED
ansible/inventory.example.yml	DOCUMENTATION	ops template	no	ansible/inventory.example.yml	UNCHANGED
ansible/roles/voynich_worker/	REUSABLE_LIBRARY (ops)	real production mTLS worker fleet deploy	no (ops only)	ansible/roles/voynich_worker/	UPDATED	tasks/build.yml's two ./conditional-regime-analyze build-source refs updated to ./cmd/conditional-regime-analyze; every other file already referenced the binary by name, not source path
data/	CORPUS/DATA (source)	scripts/maintenance/run-full-analysis.sh	yes - source corpus	data/	DOCUMENTED (corpora/README.md)	gitignored except .gitkeep; licensing status unknown (voynich.nu mirror, no bundled license)
data_test/	CORPUS/DATA (control/comparison)	research/phase1/*, corpus-transform	yes - control corpora	data_test/	DOCUMENTED (corpora/README.md)	gitignored except 2 force-tracked files; Gutenberg texts public domain, Astafiev/Sanskrit texts licensing unknown
data_work/	CORPUS/DATA (derived)	scripts/maintenance/run-full-analysis.sh, codex_orientation	yes - canonical derived corpus	data_work/	DOCUMENTED (corpora/README.md)	gitignored except .gitkeep; ZL3b-x7.txt is the pipeline default corpus
ivtt/	REUSABLE_CLI (vendored, third-party)	run-full-analysis.sh	no - transcription tool, not analysis	ivtt/	DOCUMENTED (corpora/README.md)	vendored C tool from voynich.nu; no license header found in ivtt.c
dataset/	SCRATCH/TEMPORARY	none found	no	dataset/	UNCHANGED (documented only)	empty directory, no files, no .gitkeep; likely stale mkdir from an earlier layout
pki/	LEGACY (sensitive, correctly excluded)	conditional-regime-pki, conditional-regime-analyze (mTLS)	no	pki/	UNCHANGED	mode 0700; contains real private keys for the deployed worker fleet; fully gitignored and confirmed NOT git-tracked (git ls-files pki/ empty) - verified not a security issue
bin/	SCRATCH/TEMPORARY (build output)	none - compiled binaries only	no	bin/	UNCHANGED	fully gitignored, 0 tracked files, no bloat risk
workdir/	SCRATCH/TEMPORARY	run-full-analysis.sh, run-normalization-analysis.sh, pipeline-orchestrate	no	workdir/	UNCHANGED	live scratch output dir, gitignored except .gitkeep; still actively written to
workdir.v0/	LEGACY	none - old frozen snapshot	no	workdir.v0/	UNCHANGED (documented only)	240MB, fully gitignored, 0 tracked files; old scratch snapshot kept informally - left in place per scratch-cleanup decision, not deleted
workdir-v2/	UNKNOWN	none	no	workdir-v2/	UNCHANGED (documented only)	completely empty, never tracked - left in place per scratch-cleanup decision
task54-audit/	UNKNOWN	none	no	task54-audit/	UNCHANGED (documented only)	completely empty placeholder directory
profiles/	DOCUMENTATION (historical pprof artifacts)	none - reference only	no	profiles/	UNCHANGED	Task28-30 era performance work; 6 files force-tracked, rest gitignored/local-only
.agents/	UNKNOWN (tool state)	AI-agent tooling scaffolding	no	.agents/	UNCHANGED	empty; not research content
.codex/	UNKNOWN (tool state)	AI-agent tooling scaffolding	no	.codex/	UNCHANGED	empty; not research content
.openmono/	UNKNOWN (tool state)	AI-agent tooling scaffolding	no	.openmono/	UNCHANGED	contains only agent.lock
.claude/	UNKNOWN (tool state)	Claude Code session config	no	.claude/	UNCHANGED	settings.local.json + scheduled_tasks.lock
character-entropy-v1.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	character-entropy-v1.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
comparative-doyle-homophonic01.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comparative-doyle-homophonic01.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comparative-doyle-homophonic02.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comparative-doyle-homophonic02.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comparative-doyle-homophonic04.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comparative-doyle-homophonic04.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comparative-doyle-homophonic05.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comparative-doyle-homophonic05.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comporative-report.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comporative-report.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comporative-voynich4.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comporative-voynich4.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comporative-voynich5.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comporative-voynich5.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comporative-voynich6.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comporative-voynich6.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comporative-voynich7.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comporative-voynich7.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comporative-voynich_doyle.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comporative-voynich_doyle.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
comporative-voynich_doyle3.tgz	LEGACY (orphaned, possibly irreplaceable)	none - local backup only	no	comporative-voynich_doyle3.tgz	UNCHANGED (documented only)	untracked/gitignored, no current experiments/ directory matches its (different) internal naming scheme - possibly the only surviving copy of a pre-experiment-compare-tool-era manual comparative run
line-regime-v1.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	line-regime-v1.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
local-regime-topology-v1.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	local-regime-topology-v1.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
longfellow-song-of-hiawatha-v1.tar.gz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	longfellow-song-of-hiawatha-v1.tar.gz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
mechanism-space-v1.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	mechanism-space-v1.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
msdos-v2-0-v1.tar.gz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	msdos-v2-0-v1.tar.gz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
recoverability-v1.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	recoverability-v1.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
token-formation-v1.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	token-formation-v1.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
token-repetition-v1.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	token-repetition-v1.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
token-transition-v1.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	token-transition-v1.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
voynich-discovery.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	voynich-discovery.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
voynich-validation.tgz	SCRATCH/TEMPORARY (redundant duplicate)	none - local backup only	no	voynich-validation.tgz	UNCHANGED (documented only)	untracked/gitignored, redundant backup duplicating tracked experiments/ or data_test/ content, byte-identical file listing verified via tar -tzf
tasks/	DOCUMENTATION (historical task specifications)	this Task70 process itself	no	tasks/	UNCHANGED	never edited - the immutable historical record of what was asked, including task55-69's original wording
