Position	Page	Line	Score	Significance	Discovery	Replication	MetadataBoundary
7280	f42r	1022	0.539527156	NOT_SIGNIFICANT	YES	NO	PAGE
7300	f42v	1024	0.327871926	NOT_SIGNIFICANT	YES	NO	PAGE
7320	f42v	1026	0.234520788	NOT_SIGNIFICANT	YES	NO	NONE
7340	f42v	1029	0.667083203	NOT_SIGNIFICANT	YES	NO	NONE
7360	f42v	1032	1.052378259	P95	YES	NO	NONE
7380	f42v	1035	0.815475322	NOT_SIGNIFICANT	YES	NO	NONE
7400	f42v	1038	0.634428877	NOT_SIGNIFICANT	YES	NO	PAGE
7420	f43r	1040	0.908295106	NOT_SIGNIFICANT	YES	NO	PAGE
7440	f43r	1042	0.963068014	P95	YES	NO	NONE
7460	f43r	1043	0.312249900	NOT_SIGNIFICANT	YES	NO	NONE
7480	f43r	1045	0.504975247	NOT_SIGNIFICANT	YES	NO	NONE
7500	f43r	1048	0.620483682	NOT_SIGNIFICANT	YES	NO	NONE
7520	f43r	1049	0.259807621	NOT_SIGNIFICANT	YES	NO	NONE
7540	f43r	1051	0.504975247	NOT_SIGNIFICANT	YES	NO	PAGE
7560	f43v	1053	0.628490254	NOT_SIGNIFICANT	YES	NO	PAGE
7580	f43v	1055	0.514781507	NOT_SIGNIFICANT	YES	NO	NONE
7600	f43v	1057	1.450861813	P99	YES	NO	NONE
7620	f43v	1059	1.003742995	P95	YES	NO	NONE
7640	f43v	1062	0.494974747	NOT_SIGNIFICANT	YES	NO	NONE
7660	f43v	1064	0.353553391	NOT_SIGNIFICANT	YES	NO	NONE
7680	f43v	1065	0.517204022	NOT_SIGNIFICANT	YES	NO	NONE
7700	f43v	1068	0.463680925	NOT_SIGNIFICANT	YES	NO	PAGE
7720	f44r	1070	0.187082869	NOT_SIGNIFICANT	YES	NO	PAGE
7740	f44r	1074	0.572276157	NOT_SIGNIFICANT	YES	NO	NONE
7760	f44r	1076	0.614410286	NOT_SIGNIFICANT	YES	NO	NONE
7780	f44r	1079	0.254950976	NOT_SIGNIFICANT	YES	NO	PAGE
7800	f44v	1082	0.778764093	NOT_SIGNIFICANT	YES	NO	PAGE
7820	f44v	1084	0.285435655	NOT_SIGNIFICANT	YES	NO	NONE
7840	f44v	1086	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
7860	f44v	1089	0.250000000	NOT_SIGNIFICANT	YES	NO	NONE
7880	f44v	1092	0.622494980	NOT_SIGNIFICANT	YES	NO	PAGE
7900	f45r	1095	0.801560977	NOT_SIGNIFICANT	YES	NO	PAGE
7920	f45r	1097	0.758287544	NOT_SIGNIFICANT	YES	NO	NONE
7940	f45r	1100	0.595818764	NOT_SIGNIFICANT	YES	NO	NONE
7960	f45r	1102	0.644204936	NOT_SIGNIFICANT	YES	NO	PAGE
7980	f45v	1104	0.507444578	NOT_SIGNIFICANT	YES	NO	PAGE
8000	f45v	1106	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
8020	f45v	1109	0.389258767	NOT_SIGNIFICANT	YES	NO	NONE
8040	f45v	1112	0.491449273	NOT_SIGNIFICANT	YES	NO	PAGE
8060	f46r	1115	0.452769257	NOT_SIGNIFICANT	YES	NO	PAGE
8080	f46r	1116	0.293980676	NOT_SIGNIFICANT	YES	NO	NONE
8100	f46r	1118	1.174317839	P99	YES	NO	NONE
8120	f46r	1120	0.529150262	NOT_SIGNIFICANT	YES	NO	NONE
8140	f46r	1121	0.844097151	NOT_SIGNIFICANT	YES	NO	NONE
8160	f46r	1123	0.538516481	NOT_SIGNIFICANT	YES	NO	NONE
8180	f46r	1125	0.244948974	NOT_SIGNIFICANT	YES	NO	NONE
8200	f46r	1127	0.339116499	NOT_SIGNIFICANT	YES	NO	NONE
8220	f46r	1129	0.867467579	NOT_SIGNIFICANT	YES	NO	PAGE
8240	f46v	1131	0.710633520	NOT_SIGNIFICANT	YES	NO	PAGE
8260	f46v	1133	0.180277564	NOT_SIGNIFICANT	YES	NO	NONE
8280	f46v	1134	0.200000000	NOT_SIGNIFICANT	YES	NO	NONE
8300	f46v	1136	0.497493719	NOT_SIGNIFICANT	YES	NO	NONE
8320	f46v	1139	0.724568837	NOT_SIGNIFICANT	YES	NO	PAGE
8340	f47r	1144	0.406201920	NOT_SIGNIFICANT	YES	NO	PAGE
8360	f47r	1147	0.281109210	NOT_SIGNIFICANT	YES	NO	NONE
8380	f47r	1149	0.681335371	NOT_SIGNIFICANT	YES	NO	NONE
8400	f47r	1152	0.259807621	NOT_SIGNIFICANT	YES	NO	PAGE
8420	f47v	1155	0.206155281	NOT_SIGNIFICANT	YES	NO	PAGE
8440	f47v	1158	0.287228132	NOT_SIGNIFICANT	YES	NO	NONE
8460	f47v	1162	0.864015271	NOT_SIGNIFICANT	YES	NO	NONE
8480	f47v	1164	0.570087713	NOT_SIGNIFICANT	YES	NO	PAGE
8500	f48r	1168	1.142023593	P95	YES	NO	PAGE
8520	f48r	1170	0.223606798	NOT_SIGNIFICANT	YES	NO	NONE
8540	f48r	1171	0.324037035	NOT_SIGNIFICANT	YES	NO	NONE
8560	f48r	1173	0.335410197	NOT_SIGNIFICANT	YES	NO	NONE
8580	f48r	1175	0.217944947	NOT_SIGNIFICANT	YES	NO	PAGE
8600	f48v	1177	0.377491722	NOT_SIGNIFICANT	YES	NO	PAGE
8620	f48v	1179	0.694622199	NOT_SIGNIFICANT	YES	NO	NONE
8640	f48v	1181	0.574456265	NOT_SIGNIFICANT	YES	NO	NONE
8660	f48v	1182	1.374772708	P99	YES	NO	NONE
8680	f48v	1184	0.212132034	NOT_SIGNIFICANT	YES	NO	NONE
8700	f48v	1186	0.738241153	NOT_SIGNIFICANT	YES	NO	PAGE
8720	f49r	1188	0.217944947	NOT_SIGNIFICANT	YES	NO	PAGE
8740	f49r	1190	0.514781507	NOT_SIGNIFICANT	YES	NO	NONE
8760	f49r	1195	0.497493719	NOT_SIGNIFICANT	YES	NO	NONE
8780	f49r	1199	0.491449273	NOT_SIGNIFICANT	YES	NO	NONE
8800	f49r	1202	0.359196865	NOT_SIGNIFICANT	YES	NO	NONE
8820	f49r	1205	0.295803989	NOT_SIGNIFICANT	YES	NO	PAGE
8840	f49v	1210	0.346410162	NOT_SIGNIFICANT	YES	NO	PAGE
8860	f49v	1219	0.587367006	NOT_SIGNIFICANT	YES	NO	NONE
8880	f49v	1228	0.437632709	NOT_SIGNIFICANT	YES	NO	NONE
8900	f49v	1234	0.575694917	NOT_SIGNIFICANT	YES	NO	NONE
8920	f49v	1240	0.390512484	NOT_SIGNIFICANT	YES	NO	NONE
8940	f49v	1246	0.362660155	NOT_SIGNIFICANT	YES	NO	NONE
8960	f49v	1250	0.454339782	NOT_SIGNIFICANT	YES	NO	NONE
8980	f49v	1254	0.190852398	NOT_SIGNIFICANT	YES	NO	NONE
9000	f49v	1258	1.360706577	P99	YES	NO	PAGE
9020	f50r	1262	0.668954408	NOT_SIGNIFICANT	YES	NO	PAGE
9040	f50r	1264	0.542373500	NOT_SIGNIFICANT	YES	NO	NONE
9060	f50r	1266	0.664618603	NOT_SIGNIFICANT	YES	NO	NONE
9080	f50r	1268	0.500000000	NOT_SIGNIFICANT	YES	NO	PAGE
9100	f50v	1271	0.360555128	NOT_SIGNIFICANT	YES	NO	PAGE
9120	f50v	1273	0.424264069	NOT_SIGNIFICANT	YES	NO	NONE
9140	f50v	1274	0.353553391	NOT_SIGNIFICANT	YES	NO	NONE
9160	f50v	1276	0.212132034	NOT_SIGNIFICANT	YES	NO	NONE
9180	f50v	1278	0.353553391	NOT_SIGNIFICANT	YES	NO	NONE
9200	f50v	1281	0.798435971	NOT_SIGNIFICANT	YES	NO	PAGE
9220	f51r	1286	0.533853913	NOT_SIGNIFICANT	YES	NO	PAGE
9240	f51r	1289	0.412310563	NOT_SIGNIFICANT	YES	NO	NONE
9260	f51r	1292	0.187082869	NOT_SIGNIFICANT	YES	NO	NONE
9280	f51r	1295	0.867467579	NOT_SIGNIFICANT	YES	NO	PAGE
9300	f51v	1298	0.158113883	NOT_SIGNIFICANT	YES	NO	PAGE
9320	f51v	1300	0.476969601	NOT_SIGNIFICANT	YES	NO	NONE
9340	f51v	1303	0.150000000	NOT_SIGNIFICANT	YES	NO	NONE
9360	f51v	1306	0.352168124	NOT_SIGNIFICANT	YES	NO	PAGE
9380	f52r	1310	0.318625780	NOT_SIGNIFICANT	YES	NO	PAGE
9400	f52r	1313	0.335410197	NOT_SIGNIFICANT	YES	NO	NONE
9420	f52r	1315	0.452769257	NOT_SIGNIFICANT	YES	NO	NONE
9440	f52r	1317	0.122474487	NOT_SIGNIFICANT	YES	NO	PAGE
9460	f52v	1320	0.364005494	NOT_SIGNIFICANT	YES	NO	PAGE
9480	f52v	1323	0.269258240	NOT_SIGNIFICANT	YES	NO	NONE
9500	f52v	1327	0.291547595	NOT_SIGNIFICANT	YES	NO	PAGE
9520	f53r	1332	0.390512484	NOT_SIGNIFICANT	YES	NO	PAGE
9540	f53r	1336	0.807774721	NOT_SIGNIFICANT	YES	NO	NONE
9560	f53r	1338	0.463680925	NOT_SIGNIFICANT	YES	NO	NONE
9580	f53r	1340	0.234520788	NOT_SIGNIFICANT	YES	NO	PAGE
9600	f53v	1343	0.244948974	NOT_SIGNIFICANT	YES	NO	PAGE
9620	f53v	1346	0.813941030	NOT_SIGNIFICANT	YES	NO	NONE
9640	f53v	1350	0.254950976	NOT_SIGNIFICANT	YES	NO	PAGE
9660	f54r	1355	0.565685425	NOT_SIGNIFICANT	YES	NO	PAGE
9680	f54r	1357	0.552268051	NOT_SIGNIFICANT	YES	NO	NONE
9700	f54r	1360	0.206155281	NOT_SIGNIFICANT	YES	NO	NONE
9720	f54r	1362	0.639586791	NOT_SIGNIFICANT	YES	NO	NONE
9740	f54r	1363	0.411182761	NOT_SIGNIFICANT	YES	NO	NONE
9760	f54r	1365	0.583095189	NOT_SIGNIFICANT	YES	NO	PAGE
9780	f54v	1367	0.570087713	NOT_SIGNIFICANT	YES	NO	PAGE
9800	f54v	1370	0.250000000	NOT_SIGNIFICANT	YES	NO	NONE
9820	f54v	1373	0.250000000	NOT_SIGNIFICANT	YES	NO	NONE
9840	f54v	1377	0.291547595	NOT_SIGNIFICANT	YES	NO	PAGE
9860	f55r	1382	0.324037035	NOT_SIGNIFICANT	YES	NO	PAGE
9880	f55r	1384	0.450000000	NOT_SIGNIFICANT	YES	NO	NONE
9900	f55r	1386	0.187082869	NOT_SIGNIFICANT	YES	NO	NONE
9920	f55r	1388	1.024695077	P95	YES	NO	NONE
9940	f55r	1390	1.166190379	P99	YES	NO	NONE
9960	f55r	1392	0.200000000	NOT_SIGNIFICANT	YES	NO	NONE
9980	f55r	1394	0.708872344	NOT_SIGNIFICANT	YES	NO	PAGE
10000	f55v	1397	0.722841615	NOT_SIGNIFICANT	YES	NO	PAGE
10020	f55v	1399	0.141421356	NOT_SIGNIFICANT	YES	NO	NONE
10040	f55v	1402	0.217944947	NOT_SIGNIFICANT	YES	NO	NONE
10060	f55v	1403	0.187082869	NOT_SIGNIFICANT	YES	NO	NONE
10080	f55v	1405	0.556776436	NOT_SIGNIFICANT	YES	NO	PAGE
10100	f56r	1407	1.528070679	P99	YES	NO	PAGE
10120	f56r	1410	0.851469318	NOT_SIGNIFICANT	YES	NO	NONE
10140	f56r	1413	0.212132034	NOT_SIGNIFICANT	YES	NO	NONE
10160	f56r	1417	0.350000000	NOT_SIGNIFICANT	YES	NO	NONE
10180	f56r	1422	0.324037035	NOT_SIGNIFICANT	YES	NO	PAGE
10200	f56v	1426	0.559016994	NOT_SIGNIFICANT	YES	NO	PAGE
10220	f56v	1429	1.124722188	P95	YES	NO	NONE
10240	f56v	1433	0.547722558	NOT_SIGNIFICANT	YES	NO	NONE
10260	f56v	1436	0.223606798	NOT_SIGNIFICANT	YES	NO	NONE
10280	f56v	1440	0.427200187	NOT_SIGNIFICANT	YES	NO	PAGE
10300	f57r	1443	0.966953980	P95	YES	NO	PAGE
10320	f57r	1445	0.587367006	NOT_SIGNIFICANT	YES	NO	NONE
10340	f57r	1448	0.367423461	NOT_SIGNIFICANT	YES	NO	NONE
10360	f57r	1450	0.327871926	NOT_SIGNIFICANT	YES	NO	PAGE
10380	f57v	1454	1.380217374	P99	YES	NO	PAGE
10400	f57v	1454	0.484767986	NOT_SIGNIFICANT	YES	NO	NONE
10420	f57v	1454	1.671562185	P99	YES	NO	NONE
10440	f57v	1455	0.341282160	NOT_SIGNIFICANT	YES	NO	NONE
10460	f57v	1455	0.137566849	NOT_SIGNIFICANT	YES	NO	NONE
10480	f57v	1455	0.122474487	NOT_SIGNIFICANT	YES	NO	NONE
10500	f57v	1455	1.330985495	P99	YES	NO	NONE
10520	f57v	1456	0.370809924	NOT_SIGNIFICANT	YES	NO	NONE
10540	f57v	1457	1.201695162	P99	YES	NO	NONE
10560	f57v	1457	3.300624204	P99	YES	NO	PAGE
10580	f58r	1466	0.212132034	NOT_SIGNIFICANT	YES	NO	PAGE
10600	f58r	1468	0.651920241	NOT_SIGNIFICANT	YES	NO	NONE
10620	f58r	1470	0.254950976	NOT_SIGNIFICANT	YES	NO	NONE
10640	f58r	1472	0.476969601	NOT_SIGNIFICANT	YES	NO	NONE
10660	f58r	1474	0.800000000	NOT_SIGNIFICANT	YES	NO	NONE
10680	f58r	1476	1.556438242	P99	YES	NO	NONE
10700	f58r	1478	0.887411967	NOT_SIGNIFICANT	YES	NO	NONE
10720	f58r	1480	0.421307489	NOT_SIGNIFICANT	YES	NO	NONE
10740	f58r	1482	0.393700394	NOT_SIGNIFICANT	YES	NO	NONE
10760	f58r	1484	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
10780	f58r	1486	0.050000000	NOT_SIGNIFICANT	YES	NO	NONE
10800	f58r	1488	0.273861279	NOT_SIGNIFICANT	YES	NO	NONE
10820	f58r	1491	0.418330013	NOT_SIGNIFICANT	YES	NO	NONE
10840	f58r	1493	0.524404424	NOT_SIGNIFICANT	YES	NO	NONE
10860	f58r	1495	0.576628130	NOT_SIGNIFICANT	YES	NO	NONE
10880	f58r	1497	0.672681202	NOT_SIGNIFICANT	YES	NO	NONE
10900	f58r	1499	0.583095189	NOT_SIGNIFICANT	YES	NO	NONE
10920	f58r	1502	0.291547595	NOT_SIGNIFICANT	YES	NO	NONE
10940	f58r	1504	0.122474487	NOT_SIGNIFICANT	YES	NO	PAGE
10960	f58v	1507	0.444409721	NOT_SIGNIFICANT	YES	NO	PAGE
10980	f58v	1508	0.533853913	NOT_SIGNIFICANT	YES	NO	NONE
11000	f58v	1510	1.074709263	P95	YES	NO	NONE
11020	f58v	1512	0.792148976	NOT_SIGNIFICANT	YES	NO	NONE
11040	f58v	1513	0.707106781	NOT_SIGNIFICANT	YES	NO	NONE
11060	f58v	1516	0.259807621	NOT_SIGNIFICANT	YES	NO	NONE
11080	f58v	1517	0.158113883	NOT_SIGNIFICANT	YES	NO	NONE
11100	f58v	1519	0.923309266	NOT_SIGNIFICANT	YES	NO	NONE
11120	f58v	1521	1.123610253	P95	YES	NO	NONE
11140	f58v	1523	0.111803399	NOT_SIGNIFICANT	YES	NO	NONE
11160	f58v	1525	0.273861279	NOT_SIGNIFICANT	YES	NO	NONE
11180	f58v	1527	0.620483682	NOT_SIGNIFICANT	YES	NO	NONE
11200	f58v	1530	1.011187421	P95	YES	NO	NONE
11220	f58v	1532	0.345067041	NOT_SIGNIFICANT	YES	NO	NONE
11240	f58v	1534	0.625756552	NOT_SIGNIFICANT	YES	NO	NONE
11260	f58v	1536	0.476969601	NOT_SIGNIFICANT	YES	NO	NONE
11280	f58v	1538	0.278388218	NOT_SIGNIFICANT	YES	NO	NONE
11300	f58v	1540	0.602079729	NOT_SIGNIFICANT	YES	NO	NONE
11320	f58v	1543	0.193649167	NOT_SIGNIFICANT	YES	NO	NONE
11340	f58v	1545	0.620483682	NOT_SIGNIFICANT	YES	NO	PAGE
11360	f65v	1548	0.696419414	NOT_SIGNIFICANT	YES	NO	PAGE
11380	f65v	1551	0.229128785	NOT_SIGNIFICANT	YES	NO	PAGE
11400	f66r	1562	1.934985533	P99	YES	NO	PAGE
11420	f66r	1582	1.082368878	P95	YES	NO	NONE
11440	f66r	1602	3.928585630	P99	YES	NO	NONE
11460	f66r	1604	0.956556323	P95	YES	NO	NONE
11480	f66r	1606	1.206233808	P99	YES	NO	NONE
11500	f66r	1609	0.380788655	NOT_SIGNIFICANT	YES	NO	NONE
11520	f66r	1611	0.367423461	NOT_SIGNIFICANT	YES	NO	NONE
11540	f66r	1613	0.969535971	P95	YES	NO	NONE
11560	f66r	1615	0.753325959	NOT_SIGNIFICANT	YES	NO	NONE
11580	f66r	1617	0.223606798	NOT_SIGNIFICANT	YES	NO	NONE
11600	f66r	1619	0.403112887	NOT_SIGNIFICANT	YES	NO	NONE
11620	f66r	1621	0.367423461	NOT_SIGNIFICANT	YES	NO	NONE
11640	f66r	1623	0.450000000	NOT_SIGNIFICANT	YES	NO	NONE
11660	f66r	1625	0.291547595	NOT_SIGNIFICANT	YES	NO	NONE
11680	f66r	1627	0.173205081	NOT_SIGNIFICANT	YES	NO	NONE
11700	f66r	1629	0.165831240	NOT_SIGNIFICANT	YES	NO	NONE
11720	f66r	1631	0.424264069	NOT_SIGNIFICANT	YES	NO	PAGE
11740	f66v	1635	0.427200187	NOT_SIGNIFICANT	YES	NO	PAGE
11760	f66v	1637	0.799388759	NOT_SIGNIFICANT	YES	NO	NONE
11780	f66v	1639	1.016844881	P95	YES	NO	NONE
11800	f66v	1641	0.415331193	NOT_SIGNIFICANT	YES	NO	NONE
11820	f66v	1644	0.795298686	NOT_SIGNIFICANT	YES	NO	NONE
11840	f66v	1646	0.488949141	NOT_SIGNIFICANT	YES	NO	PAGE
11860	f67r1	1648	0.796224537	NOT_SIGNIFICANT	YES	NO	PAGE
11880	f67r1	1650	0.229128785	NOT_SIGNIFICANT	YES	NO	NONE
11900	f67r1	1652	0.904157066	NOT_SIGNIFICANT	YES	NO	NONE
11920	f67r1	1652	0.539928132	NOT_SIGNIFICANT	YES	NO	NONE
11940	f67r1	1653	0.294146881	NOT_SIGNIFICANT	YES	NO	NONE
11960	f67r1	1653	0.316227766	NOT_SIGNIFICANT	YES	NO	NONE
11980	f67r1	1654	0.339116499	NOT_SIGNIFICANT	YES	NO	NONE
12000	f67r1	1654	0.353553391	NOT_SIGNIFICANT	YES	NO	NONE
12020	f67r1	1666	0.572276157	NOT_SIGNIFICANT	YES	NO	PAGE
12040	f67r2	1675	0.086602540	NOT_SIGNIFICANT	YES	NO	PAGE
12060	f67r2	1682	0.524404424	NOT_SIGNIFICANT	YES	NO	NONE
12080	f67r2	1690	0.217944947	NOT_SIGNIFICANT	YES	NO	NONE
12100	f67r2	1698	0.384057287	NOT_SIGNIFICANT	YES	NO	NONE
12120	f67r2	1706	0.239791576	NOT_SIGNIFICANT	YES	NO	NONE
12140	f67r2	1714	0.316227766	NOT_SIGNIFICANT	YES	NO	NONE
12160	f67r2	1724	0.628490254	NOT_SIGNIFICANT	YES	NO	NONE
12180	f67r2	1738	0.291547595	NOT_SIGNIFICANT	YES	NO	NONE
12200	f67r2	1740	0.689202438	NOT_SIGNIFICANT	YES	NO	PAGE
12220	f67v2	1743	0.624499800	NOT_SIGNIFICANT	YES	NO	PAGE
12240	f67v2	1749	0.645423321	NOT_SIGNIFICANT	YES	NO	NONE
12260	f67v2	1755	0.888296833	NOT_SIGNIFICANT	YES	NO	PAGE
12280	f67v1	1766	0.876070773	NOT_SIGNIFICANT	YES	NO	PAGE
12300	f67v1	1778	1.322875656	P99	YES	NO	NONE
12320	f67v1	1783	0.229128785	NOT_SIGNIFICANT	YES	NO	NONE
12340	f67v1	1788	0.494974747	NOT_SIGNIFICANT	YES	NO	PAGE
12360	f68r1	1793	0.234520788	NOT_SIGNIFICANT	YES	NO	PAGE
12380	f68r1	1799	0.543139025	NOT_SIGNIFICANT	YES	NO	NONE
12400	f68r1	1819	0.636396103	NOT_SIGNIFICANT	YES	NO	PAGE
12420	f68r2	1829	0.438748219	NOT_SIGNIFICANT	YES	NO	PAGE
12440	f68r2	1831	0.111803399	NOT_SIGNIFICANT	YES	NO	NONE
12460	f68r2	1834	0.335410197	NOT_SIGNIFICANT	YES	NO	NONE
12480	f68r2	1848	0.370809924	NOT_SIGNIFICANT	YES	NO	NONE
12500	f68r2	1859	0.514781507	NOT_SIGNIFICANT	YES	NO	PAGE
12520	f68r3	1860	0.529150262	NOT_SIGNIFICANT	YES	NO	PAGE
12540	f68r3	1860	0.273861279	NOT_SIGNIFICANT	YES	NO	NONE
12560	f68r3	1863	1.057118726	P95	YES	NO	NONE
12580	f68r3	1866	0.380788655	NOT_SIGNIFICANT	YES	NO	NONE
12600	f68r3	1875	0.173205081	NOT_SIGNIFICANT	YES	NO	PAGE
12620	f68v3	1882	0.496559425	NOT_SIGNIFICANT	YES	NO	PAGE
12640	f68v3	1883	0.302526673	NOT_SIGNIFICANT	YES	NO	NONE
12660	f68v3	1885	0.234520788	NOT_SIGNIFICANT	YES	NO	NONE
12680	f68v3	1886	0.543139025	NOT_SIGNIFICANT	YES	NO	NONE
12700	f68v3	1886	1.281600562	P99	YES	NO	NONE
12720	f68v3	1887	0.282842712	NOT_SIGNIFICANT	YES	NO	NONE
12740	f68v3	1890	0.441588043	NOT_SIGNIFICANT	YES	NO	NONE
12760	f68v3	1894	0.370809924	NOT_SIGNIFICANT	YES	NO	NONE
12780	f68v3	1898	0.731436942	NOT_SIGNIFICANT	YES	NO	PAGE
12800	f68v2	1902	0.158113883	NOT_SIGNIFICANT	YES	NO	PAGE
12820	f68v2	1904	0.574456265	NOT_SIGNIFICANT	YES	NO	NONE
12840	f68v2	1906	0.406201920	NOT_SIGNIFICANT	YES	NO	NONE
12860	f68v2	1906	0.254950976	NOT_SIGNIFICANT	YES	NO	NONE
12880	f68v2	1913	0.302365074	NOT_SIGNIFICANT	YES	NO	PAGE
12900	f68v1	1919	0.252929858	NOT_SIGNIFICANT	YES	NO	PAGE
12920	f68v1	1919	0.312249900	NOT_SIGNIFICANT	YES	NO	NONE
12940	f68v1	1920	0.304138127	NOT_SIGNIFICANT	YES	NO	NONE
12960	f68v1	1920	0.212132034	NOT_SIGNIFICANT	YES	NO	NONE
12980	f68v1	1925	0.173205081	NOT_SIGNIFICANT	YES	NO	PAGE
13000	f69r	1930	0.674536878	NOT_SIGNIFICANT	YES	NO	PAGE
13020	f69r	1931	0.881759604	NOT_SIGNIFICANT	YES	NO	NONE
13040	f69r	1937	0.650000000	NOT_SIGNIFICANT	YES	NO	NONE
13060	f69r	1944	1.110180166	P95	YES	NO	NONE
13080	f69r	1953	0.763216876	NOT_SIGNIFICANT	YES	NO	NONE
13100	f69r	1959	0.545435606	NOT_SIGNIFICANT	YES	NO	NONE
13120	f69r	1966	0.320156212	NOT_SIGNIFICANT	YES	NO	NONE
13140	f69r	1971	0.792148976	NOT_SIGNIFICANT	YES	NO	PAGE
13160	f69v	1978	0.310523168	NOT_SIGNIFICANT	YES	NO	PAGE
13180	f69v	1978	0.535232205	NOT_SIGNIFICANT	YES	NO	NONE
13200	f69v	1979	0.599184769	NOT_SIGNIFICANT	YES	NO	NONE
13220	f69v	1979	0.448858010	NOT_SIGNIFICANT	YES	NO	NONE
13240	f69v	1980	0.642261629	NOT_SIGNIFICANT	YES	NO	NONE
13260	f69v	1980	0.476969601	NOT_SIGNIFICANT	YES	NO	NONE
13280	f69v	1996	0.743303437	NOT_SIGNIFICANT	YES	NO	PAGE
13300	f70r1	2010	0.403112887	NOT_SIGNIFICANT	YES	NO	PAGE
13320	f70r1	2010	0.239791576	NOT_SIGNIFICANT	YES	NO	NONE
13340	f70r1	2011	0.657647322	NOT_SIGNIFICANT	YES	NO	NONE
13360	f70r1	2011	0.269258240	NOT_SIGNIFICANT	YES	NO	NONE
13380	f70r1	2018	0.173205081	NOT_SIGNIFICANT	YES	NO	NONE
13400	f70r1	2021	0.187082869	NOT_SIGNIFICANT	YES	NO	PAGE
13420	f70r2	2029	0.815475322	NOT_SIGNIFICANT	YES	NO	PAGE
13440	f70r2	2031	0.244948974	NOT_SIGNIFICANT	YES	NO	NONE
13460	f70r2	2033	0.868907360	NOT_SIGNIFICANT	YES	NO	NONE
13480	f70r2	2036	0.528179432	NOT_SIGNIFICANT	YES	NO	NONE
13500	f70r2	2040	0.564863933	NOT_SIGNIFICANT	YES	NO	NONE
13520	f70r2	2042	1.036822068	P95	YES	NO	NONE
13540	f70r2	2042	0.304138127	NOT_SIGNIFICANT	YES	NO	NONE
13560	f70r2	2043	0.624499800	NOT_SIGNIFICANT	YES	NO	NONE
13580	f70r2	2044	0.324037035	NOT_SIGNIFICANT	YES	NO	NONE
13600	f70r2	2044	0.173205081	NOT_SIGNIFICANT	YES	NO	NONE
13620	f70r2	2045	0.342782730	NOT_SIGNIFICANT	YES	NO	NONE
13640	f70r2	2045	0.779422863	NOT_SIGNIFICANT	YES	NO	PAGE
13660	f70v2	2047	1.366565037	P99	YES	NO	PAGE
13680	f70v2	2047	0.674536878	NOT_SIGNIFICANT	YES	NO	NONE
13700	f70v2	2049	0.593717104	NOT_SIGNIFICANT	YES	NO	NONE
13720	f70v2	2066	0.561248608	NOT_SIGNIFICANT	YES	NO	NONE
13740	f70v2	2067	0.187082869	NOT_SIGNIFICANT	YES	NO	NONE
13760	f70v2	2071	0.158113883	NOT_SIGNIFICANT	YES	NO	NONE
13780	f70v2	2078	0.250000000	NOT_SIGNIFICANT	YES	NO	PAGE
13800	f70v1	2080	0.393700394	NOT_SIGNIFICANT	YES	NO	PAGE
13820	f70v1	2080	0.312249900	NOT_SIGNIFICANT	YES	NO	NONE
13840	f70v1	2089	0.452769257	NOT_SIGNIFICANT	YES	NO	NONE
13860	f70v1	2091	0.254950976	NOT_SIGNIFICANT	YES	NO	PAGE
13880	f71r	2097	0.595818764	NOT_SIGNIFICANT	YES	NO	PAGE
13900	f71r	2097	0.580947502	NOT_SIGNIFICANT	YES	NO	NONE
13920	f71r	2102	0.919238816	NOT_SIGNIFICANT	YES	NO	NONE
13940	f71r	2108	0.900000000	NOT_SIGNIFICANT	YES	NO	NONE
13960	f71r	2114	0.624499800	NOT_SIGNIFICANT	YES	NO	PAGE
13980	f71v	2115	0.409267639	NOT_SIGNIFICANT	YES	NO	PAGE
14000	f71v	2115	0.254950976	NOT_SIGNIFICANT	YES	NO	NONE
14020	f71v	2126	0.578791845	NOT_SIGNIFICANT	YES	NO	NONE
14040	f71v	2126	0.731436942	NOT_SIGNIFICANT	YES	NO	NONE
14060	f71v	2132	0.217944947	NOT_SIGNIFICANT	YES	NO	PAGE
14080	f72r1	2133	0.229128785	NOT_SIGNIFICANT	YES	NO	PAGE
14100	f72r1	2133	0.259807621	NOT_SIGNIFICANT	YES	NO	NONE
14120	f72r1	2141	0.398653531	NOT_SIGNIFICANT	YES	NO	NONE
14140	f72r1	2144	0.603261666	NOT_SIGNIFICANT	YES	NO	NONE
14160	f72r1	2150	0.514781507	NOT_SIGNIFICANT	YES	NO	PAGE
14180	f72r2	2156	0.622494980	NOT_SIGNIFICANT	YES	NO	PAGE
14200	f72r2	2156	0.312249900	NOT_SIGNIFICANT	YES	NO	NONE
14220	f72r2	2158	1.264911064	P99	YES	NO	NONE
14240	f72r2	2172	0.975961065	P95	YES	NO	NONE
14260	f72r2	2172	0.254950976	NOT_SIGNIFICANT	YES	NO	NONE
14280	f72r2	2182	0.217944947	NOT_SIGNIFICANT	YES	NO	PAGE
14300	f72r3	2183	0.342782730	NOT_SIGNIFICANT	YES	NO	PAGE
14320	f72r3	2183	0.696419414	NOT_SIGNIFICANT	YES	NO	NONE
